14899,"select objID, petroRad_r from galaxy where objID = #"
2019-11-23 06:58:00,32
2019-11-23 06:59:00,153
2019-11-23 07:00:00,155
2019-11-23 07:01:00,116
2019-11-23 07:02:00,147
2019-11-23 07:03:00,148
2019-11-23 07:04:00,148
2019-11-23 07:05:00,119
2019-11-23 07:06:00,148
2019-11-23 07:07:00,152
2019-11-23 07:08:00,151
2019-11-23 07:09:00,143
2019-11-23 07:10:00,125
2019-11-23 07:11:00,150
2019-11-23 07:12:00,154
2019-11-23 07:13:00,146
2019-11-23 07:14:00,125
2019-11-23 07:15:00,152
2019-11-23 07:16:00,149
2019-11-23 07:17:00,146
2019-11-23 07:18:00,134
2019-11-23 07:19:00,138
2019-11-23 07:20:00,146
2019-11-23 07:21:00,148
2019-11-23 07:22:00,147
2019-11-23 07:23:00,145
2019-11-23 07:24:00,152
2019-11-23 07:25:00,153
2019-11-23 07:26:00,152
2019-11-23 07:27:00,150
2019-11-23 07:28:00,154
2019-11-23 07:29:00,148
2019-11-23 07:30:00,151
2019-11-23 07:31:00,150
2019-11-23 07:32:00,132
2019-11-23 07:33:00,33
2019-11-23 08:46:00,30
2019-11-23 08:47:00,162
2019-11-23 08:48:00,164
2019-11-23 08:49:00,162
2019-11-23 08:50:00,163
2019-11-23 08:51:00,162
2019-11-23 08:52:00,162
2019-11-23 08:53:00,165
2019-11-23 08:54:00,164
2019-11-23 08:55:00,165
2019-11-23 08:56:00,164
2019-11-23 08:57:00,165
2019-11-23 08:58:00,163
2019-11-23 08:59:00,164
2019-11-23 09:00:00,164
2019-11-23 09:01:00,163
2019-11-23 09:02:00,123
2019-11-23 09:03:00,158
2019-11-23 09:04:00,159
2019-11-23 09:05:00,162
2019-11-23 09:06:00,162
2019-11-23 09:07:00,162
2019-11-23 09:08:00,163
2019-11-23 09:09:00,163
2019-11-23 09:10:00,162
2019-11-23 09:11:00,163
2019-11-23 09:12:00,162
2019-11-23 09:13:00,162
2019-11-23 09:14:00,161
2019-11-23 09:15:00,161
2019-11-23 09:16:00,161
2019-11-23 09:17:00,96
2019-11-23 09:42:00,152
2019-11-23 09:43:00,164
2019-11-23 09:44:00,162
2019-11-23 09:45:00,161
2019-11-23 09:46:00,162
2019-11-23 09:47:00,162
2019-11-23 09:48:00,161
2019-11-23 09:49:00,162
2019-11-23 09:50:00,162
2019-11-23 09:51:00,163
2019-11-23 09:52:00,161
2019-11-23 09:53:00,161
2019-11-23 09:54:00,162
2019-11-23 09:55:00,161
2019-11-23 09:56:00,163
2019-11-23 09:57:00,163
2019-11-23 09:58:00,162
2019-11-23 09:59:00,161
2019-11-23 10:00:00,164
2019-11-23 10:01:00,163
2019-11-23 10:02:00,159
2019-11-23 10:03:00,158
2019-11-23 10:04:00,161
2019-11-23 10:05:00,157
2019-11-23 10:06:00,108
2019-11-23 10:07:00,163
2019-11-23 10:08:00,162
2019-11-23 10:09:00,164
2019-11-23 10:10:00,156
2019-11-23 10:11:00,156
2019-11-23 10:12:00,160
2019-11-23 10:13:00,9
