29,"SELECT DISTINCT s.specObjID, s.sciencePrimary, s.plate, s.mjd, s.fiberID, s.z FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-01-22 01:58:00,1
2019-02-01 20:52:00,1
2019-03-30 19:24:00,1
2019-03-30 19:26:00,1
2019-04-01 11:39:00,1
2019-04-01 12:49:00,1
2019-04-01 12:50:00,2
2019-04-01 12:51:00,1
2019-04-01 12:53:00,1
2019-04-01 12:54:00,1
2019-04-01 12:55:00,1
2019-04-30 15:39:00,1
2019-04-30 15:40:00,1
2019-04-30 15:42:00,1
2019-04-30 15:46:00,2
2019-04-30 15:47:00,1
2019-04-30 15:49:00,1
2019-04-30 15:51:00,1
2019-04-30 15:52:00,1
2019-04-30 15:53:00,2
2019-04-30 15:54:00,2
2019-04-30 23:44:00,1
2019-05-01 04:06:00,1
2019-07-17 13:57:00,1
2019-08-07 17:35:00,1
