695,"SELECT TOP # objid, ra, dec, flags, flags & # AS flags_lo, (flags/power (cast (# as bigint) , #) ) & # AS flags_hi FROM PhotoObj"
2019-01-01 09:06:00,1
2019-01-02 01:00:00,1
2019-01-03 11:08:00,1
2019-01-03 13:46:00,1
2019-01-05 07:49:00,1
2019-01-05 11:53:00,1
2019-01-07 23:58:00,1
2019-01-08 03:42:00,1
2019-01-08 05:29:00,1
2019-01-08 14:56:00,1
2019-01-08 17:38:00,1
2019-01-08 19:07:00,1
2019-01-10 02:14:00,1
2019-01-10 22:01:00,1
2019-01-12 09:29:00,1
2019-01-14 11:19:00,1
2019-01-16 01:51:00,1
2019-01-17 04:32:00,1
2019-01-17 07:26:00,1
2019-01-17 14:06:00,2
2019-01-19 01:50:00,1
2019-01-20 18:31:00,1
2019-01-22 08:15:00,1
2019-01-22 13:11:00,1
2019-01-22 20:43:00,1
2019-01-24 12:46:00,1
2019-01-25 11:28:00,1
2019-01-25 14:18:00,1
2019-01-26 10:37:00,1
2019-01-26 20:13:00,1
2019-01-27 09:47:00,1
2019-01-27 21:44:00,1
2019-01-28 14:02:00,1
2019-01-28 14:37:00,1
2019-01-29 00:44:00,1
2019-01-30 15:55:00,2
2019-01-30 21:13:00,1
2019-01-31 05:10:00,1
2019-02-01 07:31:00,1
2019-02-01 21:18:00,1
2019-02-01 22:29:00,1
2019-02-02 07:48:00,1
2019-02-02 14:43:00,1
2019-02-02 19:50:00,1
2019-02-07 21:34:00,1
2019-02-08 04:27:00,1
2019-02-08 17:01:00,1
2019-02-09 10:24:00,1
2019-02-09 15:31:00,1
2019-02-10 18:34:00,1
2019-02-11 04:57:00,1
2019-02-11 04:59:00,1
2019-02-11 21:35:00,1
2019-02-11 22:37:00,1
2019-02-12 00:03:00,1
2019-02-12 15:19:00,1
2019-02-12 18:51:00,1
2019-02-12 19:06:00,1
2019-02-13 06:00:00,1
2019-02-13 08:56:00,1
2019-02-13 12:28:00,1
2019-02-14 12:19:00,1
2019-02-14 12:42:00,1
2019-02-18 00:08:00,1
2019-02-18 05:52:00,1
2019-02-18 23:24:00,1
2019-02-20 02:52:00,1
2019-02-20 03:01:00,1
2019-02-20 04:57:00,1
2019-02-20 06:24:00,1
2019-02-20 10:16:00,1
2019-02-21 13:07:00,1
2019-02-23 05:10:00,1
2019-02-23 17:09:00,1
2019-02-25 18:08:00,1
2019-02-26 01:28:00,1
2019-02-26 06:41:00,1
2019-02-27 02:09:00,1
2019-02-27 05:02:00,1
2019-02-28 01:49:00,1
2019-02-28 08:02:00,1
2019-02-28 14:31:00,1
2019-03-01 00:13:00,1
2019-03-01 01:35:00,1
2019-03-01 01:46:00,1
2019-03-01 02:00:00,1
2019-03-01 02:29:00,1
2019-03-01 03:46:00,1
2019-03-01 10:07:00,1
2019-03-01 18:37:00,1
2019-03-01 21:17:00,1
2019-03-01 21:33:00,1
2019-03-02 03:20:00,1
2019-03-02 22:46:00,1
2019-03-03 02:22:00,1
2019-03-04 03:50:00,1
2019-03-04 23:02:00,1
2019-03-05 04:21:00,1
2019-03-06 00:37:00,1
2019-03-06 06:44:00,1
2019-03-06 14:06:00,1
2019-03-06 14:44:00,1
2019-03-06 18:44:00,1
2019-03-06 21:12:00,1
2019-03-07 07:50:00,1
2019-03-07 11:11:00,1
2019-03-08 11:21:00,1
2019-03-08 14:34:00,1
2019-03-08 20:48:00,1
2019-03-08 22:36:00,1
2019-03-09 02:07:00,1
2019-03-10 01:51:00,1
2019-03-11 02:17:00,1
2019-03-11 07:57:00,1
2019-03-11 09:46:00,1
2019-03-11 16:48:00,1
2019-03-12 02:17:00,1
2019-03-12 16:22:00,1
2019-03-13 03:03:00,1
2019-03-13 05:08:00,1
2019-03-14 05:50:00,1
2019-03-14 10:27:00,1
2019-03-15 01:30:00,1
2019-03-15 03:29:00,1
2019-03-15 04:24:00,1
2019-03-15 17:55:00,1
2019-03-15 22:04:00,1
2019-03-16 01:32:00,1
2019-03-16 03:17:00,1
2019-03-16 09:26:00,1
2019-03-17 22:05:00,1
2019-03-18 03:56:00,1
2019-03-19 14:03:00,2
2019-03-19 17:45:00,1
2019-03-20 13:12:00,1
2019-03-21 15:28:00,1
2019-03-21 16:53:00,1
2019-03-21 21:50:00,1
2019-03-23 22:28:00,1
2019-03-23 23:01:00,1
2019-03-24 23:59:00,1
2019-03-25 01:32:00,1
2019-03-25 05:13:00,1
2019-03-25 05:21:00,1
2019-03-25 09:32:00,1
2019-03-25 17:45:00,1
2019-03-25 19:16:00,1
2019-03-25 23:07:00,1
2019-03-26 09:06:00,1
2019-03-26 10:09:00,1
2019-03-26 15:05:00,1
2019-03-26 20:24:00,1
2019-03-26 21:08:00,1
2019-03-27 19:16:00,1
2019-03-28 01:36:00,1
2019-03-28 17:57:00,1
2019-03-28 22:19:00,1
2019-03-28 23:55:00,1
2019-03-29 00:50:00,1
2019-03-29 15:27:00,1
2019-03-30 00:03:00,1
2019-03-30 09:09:00,1
2019-03-31 06:12:00,1
2019-03-31 12:56:00,1
2019-03-31 20:13:00,1
2019-04-01 03:43:00,1
2019-04-01 19:27:00,1
2019-04-01 20:32:00,1
2019-04-02 10:09:00,1
2019-04-03 17:07:00,1
2019-04-04 12:55:00,1
2019-04-04 21:46:00,1
2019-04-05 06:29:00,1
2019-04-05 11:32:00,1
2019-04-05 15:52:00,1
2019-04-06 09:53:00,1
2019-04-07 01:40:00,1
2019-04-07 14:44:00,1
2019-04-07 16:06:00,1
2019-04-07 21:56:00,1
2019-04-08 18:57:00,1
2019-04-09 02:45:00,1
2019-04-09 06:39:00,1
2019-04-10 20:13:00,2
2019-04-11 04:29:00,1
2019-04-12 20:39:00,1
2019-04-13 00:54:00,1
2019-04-13 13:41:00,1
2019-04-13 15:03:00,1
2019-04-14 12:00:00,1
2019-04-15 12:27:00,1
2019-04-15 22:06:00,1
2019-04-16 07:07:00,1
2019-04-16 10:26:00,1
2019-04-16 19:04:00,1
2019-04-18 09:05:00,1
2019-04-18 09:17:00,1
2019-04-18 14:11:00,1
2019-04-18 15:20:00,1
2019-04-18 21:24:00,1
2019-04-19 00:45:00,1
2019-04-20 20:42:00,1
2019-04-20 20:45:00,1
2019-04-22 09:25:00,1
2019-04-22 13:55:00,1
2019-04-22 22:37:00,1
2019-04-23 23:48:00,1
2019-04-27 06:53:00,1
2019-04-27 07:15:00,1
2019-04-27 13:59:00,1
2019-04-28 02:54:00,1
2019-04-28 06:01:00,1
2019-04-28 09:22:00,1
2019-04-28 13:30:00,1
2019-04-28 21:57:00,1
2019-04-29 23:27:00,1
2019-04-30 00:40:00,1
2019-04-30 01:39:00,1
2019-04-30 07:21:00,1
2019-04-30 10:01:00,1
2019-04-30 23:16:00,1
2019-05-02 04:14:00,1
2019-05-02 20:29:00,1
2019-05-04 00:10:00,1
2019-05-05 02:58:00,1
2019-05-06 07:13:00,1
2019-05-06 08:06:00,1
2019-05-06 09:10:00,1
2019-05-06 14:59:00,1
2019-05-07 13:35:00,1
2019-05-10 01:25:00,1
2019-05-10 12:52:00,1
2019-05-10 20:34:00,1
2019-05-10 23:04:00,1
2019-05-11 01:07:00,1
2019-05-11 05:19:00,1
2019-05-11 07:00:00,1
2019-05-13 02:43:00,1
2019-05-13 04:11:00,1
2019-05-13 08:40:00,1
2019-05-13 22:34:00,1
2019-05-13 23:05:00,1
2019-05-14 07:40:00,1
2019-05-14 19:42:00,1
2019-05-15 22:26:00,1
2019-05-17 04:04:00,1
2019-05-17 04:23:00,1
2019-05-17 04:42:00,1
2019-05-17 11:04:00,1
2019-05-18 16:15:00,1
2019-05-19 10:25:00,1
2019-05-20 17:32:00,1
2019-05-20 18:42:00,1
2019-05-20 22:36:00,1
2019-05-21 02:43:00,1
2019-05-21 02:46:00,1
2019-05-21 03:30:00,1
2019-05-21 10:20:00,1
2019-05-22 01:51:00,1
2019-05-22 18:13:00,1
2019-05-23 04:26:00,1
2019-05-23 06:32:00,1
2019-05-23 08:47:00,1
2019-05-23 12:33:00,1
2019-05-23 17:00:00,1
2019-05-24 17:33:00,1
2019-05-24 19:13:00,1
2019-05-24 20:03:00,1
2019-05-24 20:29:00,1
2019-05-24 23:58:00,1
2019-05-25 02:38:00,1
2019-05-27 12:16:00,1
2019-05-28 08:05:00,1
2019-05-28 20:44:00,1
2019-05-29 04:02:00,1
2019-05-29 12:10:00,1
2019-05-29 19:19:00,1
2019-05-30 02:52:00,1
2019-05-30 16:13:00,1
2019-05-30 21:18:00,1
2019-05-31 01:24:00,1
2019-05-31 15:58:00,1
2019-06-02 20:38:00,1
2019-06-03 16:01:00,1
2019-06-04 01:43:00,1
2019-06-04 08:21:00,1
2019-06-04 18:29:00,1
2019-06-05 08:09:00,1
2019-06-05 17:50:00,1
2019-06-06 07:35:00,1
2019-06-07 00:07:00,1
2019-06-07 14:25:00,1
2019-06-11 00:09:00,1
2019-06-11 01:13:00,1
2019-06-11 02:11:00,1
2019-06-11 15:07:00,1
2019-06-11 16:36:00,1
2019-06-12 16:09:00,1
2019-06-14 06:04:00,1
2019-06-14 14:44:00,1
2019-06-14 23:05:00,1
2019-06-15 11:44:00,1
2019-06-15 15:19:00,1
2019-06-16 15:06:00,1
2019-06-16 17:00:00,1
2019-06-17 23:33:00,1
2019-06-18 00:39:00,1
2019-06-18 14:44:00,1
2019-06-18 21:11:00,1
2019-06-18 21:30:00,1
2019-06-19 12:14:00,1
2019-06-21 06:39:00,1
2019-06-22 19:47:00,1
2019-06-23 16:01:00,1
2019-06-23 17:13:00,1
2019-06-24 08:09:00,1
2019-06-24 12:03:00,1
2019-06-25 01:23:00,1
2019-06-25 09:03:00,1
2019-06-25 16:02:00,1
2019-06-25 19:24:00,1
2019-06-25 23:42:00,1
2019-06-26 11:56:00,1
2019-06-26 18:09:00,1
2019-06-27 02:03:00,1
2019-06-27 08:36:00,1
2019-06-27 20:02:00,1
2019-06-28 03:47:00,1
2019-06-28 06:25:00,1
2019-06-28 12:12:00,1
2019-06-28 12:25:00,1
2019-06-28 22:44:00,1
2019-06-29 11:42:00,1
2019-06-29 14:28:00,1
2019-06-30 00:09:00,1
2019-07-01 08:10:00,1
2019-07-02 08:35:00,1
2019-07-02 15:14:00,1
2019-07-02 18:06:00,1
2019-07-03 09:20:00,1
2019-07-05 09:11:00,1
2019-07-05 15:15:00,1
2019-07-06 08:00:00,1
2019-07-06 23:47:00,1
2019-07-07 10:41:00,1
2019-07-08 04:54:00,1
2019-07-08 13:04:00,1
2019-07-08 17:07:00,1
2019-07-10 18:37:00,1
2019-07-10 18:55:00,1
2019-07-12 02:45:00,1
2019-07-12 10:14:00,1
2019-07-12 21:11:00,1
2019-07-13 04:19:00,1
2019-07-13 14:38:00,1
2019-07-13 17:34:00,1
2019-07-14 01:33:00,1
2019-07-14 04:57:00,1
2019-07-14 07:49:00,1
2019-07-14 17:37:00,1
2019-07-15 21:56:00,1
2019-07-17 06:27:00,1
2019-07-17 09:05:00,1
2019-07-17 11:31:00,1
2019-07-18 09:50:00,1
2019-07-18 12:56:00,1
2019-07-18 23:55:00,1
2019-07-19 22:19:00,1
2019-07-20 00:02:00,1
2019-07-20 03:57:00,1
2019-07-20 04:25:00,1
2019-07-20 19:57:00,1
2019-07-21 02:38:00,1
2019-07-21 18:14:00,1
2019-07-23 15:14:00,1
2019-07-23 20:56:00,1
2019-07-24 16:23:00,1
2019-07-26 18:34:00,1
2019-07-26 18:42:00,1
2019-07-27 15:34:00,1
2019-07-27 19:42:00,1
2019-07-28 07:58:00,1
2019-07-28 19:08:00,1
2019-07-28 19:53:00,1
2019-07-29 15:14:00,1
2019-07-29 20:21:00,1
2019-07-30 02:15:00,1
2019-07-31 08:45:00,1
2019-08-02 17:28:00,1
2019-08-03 18:11:00,1
2019-08-04 07:50:00,1
2019-08-04 18:53:00,1
2019-08-04 21:00:00,1
2019-08-04 21:21:00,1
2019-08-05 03:29:00,1
2019-08-05 14:27:00,1
2019-08-05 16:20:00,1
2019-08-05 20:35:00,1
2019-08-06 05:56:00,1
2019-08-07 18:20:00,1
2019-08-08 18:34:00,1
2019-08-09 14:53:00,1
2019-08-09 17:49:00,1
2019-08-10 23:52:00,1
2019-08-11 16:34:00,1
2019-08-12 14:59:00,1
2019-08-12 16:16:00,1
2019-08-13 15:00:00,1
2019-08-13 19:00:00,1
2019-08-14 21:39:00,1
2019-08-16 00:16:00,1
2019-08-16 12:48:00,1
2019-08-16 18:48:00,1
2019-08-18 19:00:00,1
2019-08-23 06:57:00,1
2019-08-23 14:26:00,1
2019-08-23 14:46:00,1
2019-08-23 17:52:00,1
2019-08-23 23:37:00,1
2019-08-26 09:33:00,1
2019-08-27 22:04:00,1
2019-08-27 23:29:00,1
2019-08-28 14:16:00,1
2019-08-28 22:25:00,1
2019-08-29 10:11:00,1
2019-08-30 04:37:00,1
2019-08-30 06:19:00,1
2019-08-30 06:53:00,1
2019-08-30 21:08:00,1
2019-08-31 13:15:00,1
2019-08-31 16:00:00,1
2019-09-01 04:11:00,1
2019-09-01 04:36:00,1
2019-09-01 07:07:00,1
2019-09-01 08:01:00,1
2019-09-01 10:31:00,1
2019-09-01 14:12:00,1
2019-09-02 09:24:00,1
2019-09-02 13:12:00,1
2019-09-02 23:09:00,1
2019-09-03 15:53:00,1
2019-09-04 10:49:00,1
2019-09-05 09:55:00,1
2019-09-05 23:10:00,1
2019-09-06 10:22:00,1
2019-09-06 18:20:00,1
2019-09-07 16:57:00,1
2019-09-07 17:57:00,1
2019-09-08 06:27:00,1
2019-09-08 09:41:00,1
2019-09-08 15:13:00,1
2019-09-10 07:22:00,1
2019-09-11 12:17:00,1
2019-09-11 22:25:00,1
2019-09-12 06:49:00,1
2019-09-12 08:27:00,1
2019-09-15 05:57:00,1
2019-09-16 12:55:00,1
2019-09-17 02:24:00,1
2019-09-17 10:21:00,1
2019-09-17 14:28:00,1
2019-09-18 04:06:00,1
2019-09-18 07:42:00,1
2019-09-18 11:35:00,1
2019-09-18 13:29:00,1
2019-09-18 13:39:00,1
2019-09-18 18:00:00,1
2019-09-18 18:35:00,1
2019-09-18 21:24:00,1
2019-09-19 00:27:00,1
2019-09-19 06:42:00,1
2019-09-19 08:30:00,1
2019-09-19 15:07:00,1
2019-09-20 00:31:00,1
2019-09-20 01:13:00,1
2019-09-20 08:52:00,1
2019-09-21 03:57:00,1
2019-09-21 12:28:00,1
2019-09-22 06:19:00,1
2019-09-22 19:04:00,1
2019-09-23 04:23:00,1
2019-09-23 05:15:00,1
2019-09-23 18:28:00,1
2019-09-25 00:29:00,1
2019-09-25 06:22:00,1
2019-09-25 07:20:00,1
2019-09-25 20:52:00,1
2019-09-26 04:23:00,1
2019-09-26 05:24:00,1
2019-09-26 18:55:00,1
2019-09-27 14:27:00,1
2019-09-28 01:18:00,1
2019-09-28 14:45:00,1
2019-09-28 17:38:00,1
2019-09-29 03:58:00,1
2019-09-29 18:49:00,1
2019-09-29 21:46:00,1
2019-09-29 22:47:00,1
2019-09-30 10:35:00,1
2019-09-30 19:01:00,4
2019-10-02 03:13:00,1
2019-10-02 06:17:00,1
2019-10-02 09:00:00,1
2019-10-03 14:34:00,1
2019-10-03 18:09:00,1
2019-10-03 20:53:00,1
2019-10-04 11:34:00,1
2019-10-04 16:42:00,1
2019-10-07 06:32:00,1
2019-10-08 01:38:00,1
2019-10-08 02:53:00,1
2019-10-08 19:46:00,1
2019-10-09 10:58:00,1
2019-10-09 16:29:00,1
2019-10-10 05:06:00,1
2019-10-10 08:04:00,1
2019-10-11 02:14:00,1
2019-10-11 04:51:00,1
2019-10-13 02:00:00,1
2019-10-13 03:39:00,1
2019-10-13 12:13:00,1
2019-10-13 16:13:00,1
2019-10-14 00:31:00,1
2019-10-14 02:53:00,1
2019-10-14 11:24:00,1
2019-10-15 05:35:00,1
2019-10-16 09:29:00,1
2019-10-16 23:10:00,1
2019-10-17 12:08:00,1
2019-10-17 16:56:00,1
2019-10-18 02:55:00,1
2019-10-19 01:00:00,1
2019-10-20 23:54:00,1
2019-10-21 02:33:00,1
2019-10-21 07:25:00,1
2019-10-21 12:54:00,1
2019-10-22 02:12:00,1
2019-10-22 03:56:00,1
2019-10-22 05:38:00,1
2019-10-22 19:14:00,1
2019-10-22 23:20:00,1
2019-10-23 00:18:00,1
2019-10-23 06:47:00,1
2019-10-23 20:43:00,1
2019-10-23 21:22:00,1
2019-10-24 11:32:00,1
2019-10-24 12:59:00,1
2019-10-24 14:37:00,1
2019-10-24 15:30:00,1
2019-10-25 17:31:00,1
2019-10-26 04:35:00,1
2019-10-29 16:20:00,1
2019-10-30 10:07:00,1
2019-11-01 07:10:00,1
2019-11-01 15:04:00,1
2019-11-01 23:10:00,1
2019-11-02 03:00:00,1
2019-11-02 07:59:00,1
2019-11-02 21:01:00,1
2019-11-03 18:07:00,1
2019-11-04 12:57:00,1
2019-11-04 16:25:00,1
2019-11-05 03:38:00,1
2019-11-05 11:57:00,1
2019-11-06 01:23:00,1
2019-11-06 09:41:00,1
2019-11-07 06:26:00,1
2019-11-08 17:11:00,1
2019-11-08 20:11:00,1
2019-11-09 08:16:00,1
2019-11-09 15:49:00,1
2019-11-10 11:22:00,1
2019-11-10 13:40:00,1
2019-11-13 04:48:00,1
2019-11-13 19:08:00,1
2019-11-14 01:58:00,1
2019-11-14 08:58:00,1
2019-11-14 11:24:00,1
2019-11-14 14:27:00,1
2019-11-14 18:32:00,1
2019-11-14 23:05:00,1
2019-11-15 01:41:00,1
2019-11-15 02:01:00,1
2019-11-15 03:01:00,1
2019-11-15 03:14:00,1
2019-11-15 06:09:00,1
2019-11-15 07:34:00,1
2019-11-15 20:04:00,1
2019-11-16 04:06:00,1
2019-11-16 04:32:00,1
2019-11-16 12:03:00,1
2019-11-17 03:25:00,1
2019-11-17 20:29:00,1
2019-11-18 15:16:00,1
2019-11-18 20:51:00,1
2019-11-18 21:11:00,1
2019-11-19 17:15:00,1
2019-11-19 18:40:00,1
2019-11-22 08:01:00,1
2019-11-22 13:17:00,1
2019-11-22 16:46:00,1
2019-11-23 05:49:00,1
2019-11-23 14:38:00,1
2019-11-24 00:51:00,1
2019-11-24 13:51:00,1
2019-11-25 08:32:00,1
2019-11-26 01:30:00,1
2019-11-26 20:41:00,1
2019-11-27 05:26:00,1
2019-11-27 12:15:00,1
2019-11-28 08:14:00,1
2019-11-28 21:53:00,1
2019-11-28 23:48:00,1
2019-11-30 00:17:00,1
2019-11-30 23:40:00,1
2019-12-01 05:45:00,1
2019-12-01 13:52:00,1
2019-12-01 18:08:00,1
2019-12-04 07:55:00,1
2019-12-04 08:39:00,1
2019-12-04 11:24:00,1
2019-12-04 20:33:00,1
2019-12-04 23:25:00,1
2019-12-05 00:13:00,1
2019-12-05 00:32:00,1
2019-12-05 01:19:00,1
2019-12-05 02:16:00,1
2019-12-05 09:00:00,1
2019-12-05 09:12:00,1
2019-12-05 10:11:00,1
2019-12-05 11:09:00,1
2019-12-05 13:25:00,1
2019-12-05 19:03:00,1
2019-12-05 20:21:00,1
2019-12-06 10:16:00,1
2019-12-06 19:52:00,1
2019-12-06 23:19:00,1
2019-12-07 00:28:00,1
2019-12-07 21:06:00,1
2019-12-09 06:27:00,1
2019-12-09 19:28:00,1
2019-12-11 01:54:00,1
2019-12-11 10:44:00,1
2019-12-11 22:27:00,1
2019-12-11 23:47:00,1
2019-12-12 00:30:00,1
2019-12-12 05:24:00,1
2019-12-12 13:05:00,1
2019-12-13 09:33:00,1
2019-12-13 10:28:00,1
2019-12-13 11:45:00,1
2019-12-13 12:55:00,1
2019-12-13 21:12:00,1
2019-12-14 13:29:00,1
2019-12-14 20:41:00,1
2019-12-16 22:31:00,1
2019-12-17 11:55:00,1
2019-12-18 09:24:00,1
2019-12-18 10:12:00,1
2019-12-18 11:07:00,1
2019-12-19 09:25:00,1
2019-12-19 19:22:00,1
2019-12-20 09:01:00,1
2019-12-20 09:33:00,1
2019-12-20 17:21:00,1
2019-12-21 05:07:00,1
2019-12-22 04:24:00,2
2019-12-22 10:14:00,1
2019-12-22 14:59:00,1
2019-12-22 22:38:00,1
2019-12-23 08:07:00,1
2019-12-23 23:20:00,1
2019-12-25 01:13:00,1
2019-12-25 02:28:00,1
2019-12-25 04:20:00,1
2019-12-25 15:41:00,1
2019-12-26 03:11:00,1
2019-12-26 09:34:00,1
2019-12-26 15:21:00,1
2019-12-26 16:23:00,1
2019-12-27 05:24:00,1
2019-12-27 11:54:00,1
2019-12-27 17:41:00,1
2019-12-28 23:33:00,1
2019-12-30 05:31:00,1
2019-12-30 06:17:00,1
2019-12-30 11:27:00,1
