874,"SELECT TOP # ra, dec, specobjid, plate, mjd, fiberid FROM specObj WHERE survey = # and programname = #"
2019-01-01 10:00:00,1
2019-01-01 11:11:00,1
2019-01-02 00:20:00,1
2019-01-02 00:50:00,1
2019-01-02 01:52:00,1
2019-01-03 11:16:00,1
2019-01-03 17:42:00,1
2019-01-05 09:16:00,1
2019-01-05 18:32:00,1
2019-01-06 12:42:00,1
2019-01-06 13:56:00,1
2019-01-06 14:42:00,1
2019-01-07 00:12:00,1
2019-01-07 23:34:00,1
2019-01-08 02:02:00,1
2019-01-08 03:31:00,1
2019-01-08 03:50:00,1
2019-01-08 06:28:00,1
2019-01-08 06:52:00,1
2019-01-08 07:28:00,1
2019-01-08 08:42:00,1
2019-01-08 17:17:00,1
2019-01-08 23:33:00,2
2019-01-09 21:18:00,1
2019-01-09 22:37:00,1
2019-01-10 00:07:00,1
2019-01-10 02:35:00,1
2019-01-10 13:18:00,2
2019-01-10 22:45:00,1
2019-01-11 04:46:00,1
2019-01-12 03:21:00,1
2019-01-12 09:16:00,1
2019-01-13 08:33:00,1
2019-01-13 09:13:00,1
2019-01-14 11:41:00,1
2019-01-16 00:43:00,1
2019-01-17 21:57:00,2
2019-01-18 10:20:00,1
2019-01-18 17:17:00,1
2019-01-19 02:58:00,1
2019-01-19 20:46:00,1
2019-01-22 08:29:00,1
2019-01-22 09:06:00,1
2019-01-22 15:15:00,1
2019-01-22 21:52:00,1
2019-01-23 23:29:00,1
2019-01-24 13:45:00,1
2019-01-24 18:09:00,1
2019-01-25 03:01:00,1
2019-01-25 16:00:00,1
2019-01-25 17:35:00,1
2019-01-25 23:57:00,1
2019-01-26 13:03:00,1
2019-01-26 13:33:00,1
2019-01-26 22:21:00,1
2019-01-27 16:22:00,1
2019-01-27 20:23:00,1
2019-01-27 22:42:00,1
2019-01-28 16:03:00,1
2019-01-28 16:09:00,1
2019-01-29 03:46:00,1
2019-01-29 19:58:00,1
2019-01-30 03:53:00,1
2019-01-30 09:33:00,1
2019-01-30 18:15:00,2
2019-01-31 00:37:00,1
2019-01-31 01:32:00,1
2019-01-31 21:30:00,1
2019-02-01 09:50:00,1
2019-02-01 11:47:00,1
2019-02-01 16:25:00,1
2019-02-01 23:24:00,1
2019-02-02 12:53:00,1
2019-02-02 15:42:00,1
2019-02-03 04:09:00,1
2019-02-04 13:41:00,1
2019-02-04 14:14:00,1
2019-02-04 14:45:00,1
2019-02-04 23:27:00,2
2019-02-04 23:28:00,1
2019-02-06 08:35:00,1
2019-02-06 23:34:00,1
2019-02-07 19:38:00,1
2019-02-08 01:33:00,1
2019-02-08 05:16:00,1
2019-02-08 09:14:00,1
2019-02-08 18:14:00,1
2019-02-08 22:20:00,1
2019-02-09 03:21:00,1
2019-02-09 15:09:00,1
2019-02-09 17:36:00,1
2019-02-10 05:55:00,1
2019-02-10 09:46:00,1
2019-02-10 18:14:00,1
2019-02-11 04:35:00,1
2019-02-11 11:16:00,1
2019-02-11 22:20:00,1
2019-02-12 14:38:00,1
2019-02-12 17:24:00,1
2019-02-12 19:47:00,1
2019-02-12 19:54:00,1
2019-02-13 14:31:00,1
2019-02-14 10:39:00,1
2019-02-14 12:14:00,1
2019-02-14 12:23:00,1
2019-02-14 14:28:00,1
2019-02-14 18:53:00,1
2019-02-15 05:27:00,1
2019-02-16 17:00:00,1
2019-02-17 05:33:00,1
2019-02-17 09:29:00,1
2019-02-17 12:43:00,1
2019-02-18 03:09:00,1
2019-02-18 20:19:00,1
2019-02-19 00:11:00,1
2019-02-19 16:47:00,1
2019-02-19 18:18:00,1
2019-02-20 02:10:00,1
2019-02-20 08:57:00,1
2019-02-21 01:16:00,1
2019-02-21 01:46:00,1
2019-02-21 18:03:00,1
2019-02-24 10:39:00,1
2019-02-24 11:53:00,1
2019-02-25 06:21:00,1
2019-02-26 00:22:00,1
2019-02-26 02:53:00,1
2019-02-26 14:04:00,1
2019-02-27 04:25:00,1
2019-02-27 19:52:00,1
2019-02-27 22:33:00,1
2019-02-28 01:11:00,1
2019-02-28 03:36:00,1
2019-02-28 06:56:00,1
2019-02-28 08:54:00,1
2019-02-28 22:59:00,1
2019-03-01 10:21:00,1
2019-03-01 13:00:00,1
2019-03-01 14:55:00,1
2019-03-01 15:18:00,1
2019-03-01 22:36:00,1
2019-03-02 02:12:00,1
2019-03-02 22:42:00,1
2019-03-02 23:39:00,1
2019-03-03 04:24:00,1
2019-03-03 18:35:00,1
2019-03-03 22:47:00,1
2019-03-04 03:06:00,1
2019-03-05 03:55:00,1
2019-03-05 07:37:00,1
2019-03-05 08:56:00,1
2019-03-05 19:12:00,1
2019-03-05 20:23:00,1
2019-03-05 21:01:00,1
2019-03-05 23:45:00,1
2019-03-06 16:26:00,1
2019-03-06 16:43:00,1
2019-03-07 06:37:00,1
2019-03-07 10:01:00,1
2019-03-07 14:06:00,1
2019-03-08 21:55:00,1
2019-03-09 00:48:00,1
2019-03-09 12:08:00,1
2019-03-09 15:17:00,1
2019-03-10 02:46:00,1
2019-03-10 13:38:00,1
2019-03-10 18:00:00,1
2019-03-10 18:13:00,1
2019-03-11 03:13:00,1
2019-03-11 05:27:00,1
2019-03-11 11:14:00,1
2019-03-11 16:40:00,1
2019-03-12 07:15:00,1
2019-03-12 10:06:00,1
2019-03-13 01:04:00,1
2019-03-13 07:45:00,1
2019-03-14 01:58:00,1
2019-03-14 07:33:00,1
2019-03-14 14:25:00,1
2019-03-15 01:34:00,1
2019-03-15 08:34:00,1
2019-03-15 09:19:00,1
2019-03-15 19:18:00,1
2019-03-15 21:11:00,1
2019-03-19 10:44:00,1
2019-03-19 16:25:00,2
2019-03-20 15:18:00,1
2019-03-21 11:59:00,1
2019-03-22 09:09:00,1
2019-03-23 22:01:00,1
2019-03-24 23:30:00,1
2019-03-25 02:22:00,1
2019-03-25 10:26:00,1
2019-03-25 12:29:00,1
2019-03-26 07:29:00,1
2019-03-26 11:08:00,1
2019-03-26 11:25:00,1
2019-03-26 19:56:00,1
2019-03-26 20:32:00,1
2019-03-26 21:00:00,1
2019-03-27 17:11:00,1
2019-03-27 19:41:00,1
2019-03-28 16:18:00,1
2019-03-28 18:41:00,1
2019-03-28 20:00:00,1
2019-03-28 20:52:00,1
2019-03-28 23:23:00,1
2019-03-30 09:57:00,1
2019-03-30 23:27:00,1
2019-03-31 02:21:00,1
2019-03-31 17:50:00,1
2019-03-31 21:21:00,1
2019-04-01 06:25:00,1
2019-04-01 16:56:00,1
2019-04-01 18:26:00,1
2019-04-01 20:12:00,1
2019-04-01 21:43:00,1
2019-04-01 22:21:00,1
2019-04-02 12:17:00,1
2019-04-04 13:42:00,1
2019-04-04 19:32:00,1
2019-04-04 20:12:00,1
2019-04-05 06:49:00,1
2019-04-05 12:59:00,1
2019-04-05 17:25:00,1
2019-04-06 05:59:00,1
2019-04-06 16:06:00,1
2019-04-06 22:41:00,1
2019-04-07 12:59:00,1
2019-04-07 14:59:00,1
2019-04-07 17:03:00,1
2019-04-07 19:36:00,1
2019-04-07 20:14:00,1
2019-04-08 08:49:00,1
2019-04-08 13:55:00,1
2019-04-08 15:39:00,1
2019-04-08 18:51:00,1
2019-04-08 19:39:00,1
2019-04-09 06:22:00,1
2019-04-09 12:29:00,1
2019-04-09 21:19:00,1
2019-04-09 21:22:00,1
2019-04-09 21:25:00,1
2019-04-10 00:38:00,1
2019-04-10 15:47:00,2
2019-04-11 00:39:00,1
2019-04-12 14:43:00,1
2019-04-14 08:39:00,1
2019-04-14 13:00:00,1
2019-04-15 01:15:00,1
2019-04-15 19:07:00,1
2019-04-16 00:23:00,1
2019-04-16 04:48:00,1
2019-04-16 18:46:00,1
2019-04-18 05:53:00,1
2019-04-18 10:07:00,1
2019-04-18 10:08:00,1
2019-04-18 16:15:00,1
2019-04-18 21:57:00,1
2019-04-18 23:36:00,1
2019-04-19 01:44:00,1
2019-04-19 10:03:00,1
2019-04-19 19:09:00,1
2019-04-22 11:52:00,1
2019-04-22 14:54:00,1
2019-04-22 23:33:00,1
2019-04-23 13:15:00,1
2019-04-24 02:04:00,1
2019-04-25 15:37:00,1
2019-04-26 19:35:00,1
2019-04-26 21:37:00,1
2019-04-26 23:37:00,1
2019-04-27 08:56:00,1
2019-04-27 19:46:00,1
2019-04-28 03:31:00,1
2019-04-28 03:50:00,1
2019-04-28 10:14:00,1
2019-04-28 11:19:00,1
2019-04-28 13:27:00,1
2019-04-28 14:29:00,1
2019-04-28 19:58:00,1
2019-04-29 05:26:00,1
2019-04-29 13:29:00,1
2019-04-30 09:09:00,1
2019-04-30 11:46:00,1
2019-04-30 13:34:00,1
2019-05-01 15:07:00,1
2019-05-02 11:23:00,1
2019-05-02 11:59:00,1
2019-05-02 22:33:00,1
2019-05-03 04:44:00,1
2019-05-03 05:42:00,1
2019-05-03 14:48:00,1
2019-05-03 17:29:00,1
2019-05-04 00:19:00,1
2019-05-04 16:48:00,1
2019-05-06 08:50:00,1
2019-05-06 10:03:00,1
2019-05-06 17:09:00,1
2019-05-08 12:25:00,1
2019-05-09 16:42:00,1
2019-05-10 16:25:00,1
2019-05-11 01:36:00,1
2019-05-11 06:13:00,1
2019-05-11 07:43:00,1
2019-05-11 20:40:00,1
2019-05-12 07:15:00,1
2019-05-13 09:00:00,1
2019-05-13 09:53:00,1
2019-05-14 00:43:00,1
2019-05-14 08:29:00,1
2019-05-14 17:33:00,1
2019-05-14 22:10:00,1
2019-05-15 23:12:00,1
2019-05-16 00:00:00,1
2019-05-16 00:45:00,1
2019-05-17 04:57:00,1
2019-05-17 05:08:00,1
2019-05-18 15:08:00,1
2019-05-18 20:35:00,1
2019-05-18 21:26:00,1
2019-05-18 22:04:00,1
2019-05-19 11:19:00,1
2019-05-20 19:31:00,1
2019-05-21 05:20:00,1
2019-05-21 06:52:00,1
2019-05-21 10:56:00,1
2019-05-21 12:21:00,1
2019-05-22 10:08:00,1
