322,"SELECT TOP # s.apogee_id, s.ra, s.dec, s.glon, s.glat, s.vhelio_avg, s.vscatter, a.teff, a.teff_err, a.logg, a.logg_err, a.param_m_h, a.param_m_h_err, a.param_alpha_m, a.param_alpha_m_err, dbo.fApogeeAspcapFlagN (a.aspxcapflag) , dbo.fApogeeStarFlagN (s.starflag) FROM apogeeStar s JOIN aspcapStar a on a.apstar_id = s.apstar_id WHERE (a.aspxcapflag & dbo.fApogeeAspcapFlag (#) ) = # and s.commiss = # and (s.apogee_target1 & (dbo.fApogeeTarget1 (#) + dbo.fApogeeTarget1 (#) + dbo.fApogeeTarget1 (#) )) ! = #"
2019-01-03 11:18:00,1
2019-01-03 17:52:00,1
2019-01-05 03:03:00,1
2019-01-08 02:08:00,1
2019-01-08 04:31:00,1
2019-01-08 17:32:00,1
2019-01-10 02:40:00,1
2019-01-14 11:45:00,1
2019-01-17 23:36:00,1
2019-01-19 13:26:00,1
2019-01-19 17:01:00,1
2019-01-19 20:54:00,1
2019-01-22 15:29:00,1
2019-01-22 21:20:00,1
2019-01-25 18:51:00,1
2019-01-26 22:36:00,1
2019-01-27 16:31:00,1
2019-01-28 16:11:00,1
2019-01-30 18:41:00,2
2019-01-30 19:36:00,1
2019-01-31 01:18:00,1
2019-01-31 19:55:00,1
2019-02-01 12:31:00,1
2019-02-01 15:39:00,1
2019-02-01 23:38:00,1
2019-02-02 13:06:00,1
2019-02-04 16:30:00,1
2019-02-10 01:04:00,1
2019-02-12 01:40:00,1
2019-02-12 17:30:00,1
2019-02-13 14:39:00,1
2019-02-14 14:44:00,1
2019-02-16 06:33:00,1
2019-02-18 00:59:00,1
2019-02-18 05:21:00,1
2019-02-18 20:12:00,1
2019-02-19 04:23:00,1
2019-02-19 05:12:00,1
2019-02-20 01:39:00,1
2019-02-21 01:53:00,1
2019-02-21 15:08:00,1
2019-02-21 18:10:00,1
2019-02-22 21:55:00,1
2019-02-23 12:05:00,1
2019-02-24 07:34:00,1
2019-02-24 14:47:00,1
2019-02-25 04:03:00,1
2019-02-26 00:28:00,1
2019-02-28 07:03:00,1
2019-02-28 14:37:00,1
2019-02-28 16:47:00,1
2019-03-01 07:49:00,1
2019-03-01 10:24:00,1
2019-03-03 05:04:00,1
2019-03-04 21:46:00,1
2019-03-06 13:39:00,1
2019-03-06 16:33:00,1
2019-03-07 10:12:00,1
2019-03-09 00:56:00,1
2019-03-11 15:14:00,1
2019-03-11 17:11:00,1
2019-03-12 21:47:00,1
2019-03-13 07:52:00,1
2019-03-14 14:32:00,1
2019-03-15 01:35:00,1
2019-03-18 14:08:00,1
2019-03-19 10:17:00,1
2019-03-19 16:50:00,2
2019-03-20 15:24:00,1
2019-03-21 01:40:00,1
2019-03-24 05:03:00,1
2019-03-24 17:33:00,1
2019-03-25 12:35:00,1
2019-03-26 00:03:00,1
2019-03-26 11:35:00,1
2019-03-27 19:47:00,1
2019-03-31 17:59:00,1
2019-04-02 12:22:00,1
2019-04-07 09:14:00,1
2019-04-07 09:21:00,1
2019-04-07 09:36:00,1
2019-04-07 15:04:00,1
2019-04-08 13:18:00,1
2019-04-09 02:33:00,1
2019-04-11 01:36:00,2
2019-04-13 09:48:00,1
2019-04-15 19:15:00,1
2019-04-16 03:02:00,1
2019-04-18 11:04:00,1
2019-04-18 16:31:00,1
2019-04-18 23:45:00,1
2019-04-19 03:03:00,1
2019-04-20 09:21:00,1
2019-04-22 12:01:00,1
2019-04-24 02:16:00,1
2019-04-27 09:02:00,1
2019-04-28 10:21:00,1
2019-04-28 11:23:00,1
2019-04-28 13:53:00,1
2019-04-28 17:02:00,1
2019-04-29 19:07:00,1
2019-05-02 22:47:00,1
2019-05-04 01:00:00,1
2019-05-06 19:22:00,1
2019-05-13 09:05:00,1
2019-05-13 10:08:00,1
2019-05-13 10:35:00,1
2019-05-13 22:06:00,1
2019-05-14 00:59:00,1
2019-05-19 12:55:00,1
2019-05-20 10:54:00,1
2019-05-21 05:34:00,1
2019-05-21 08:52:00,1
2019-05-21 12:27:00,1
2019-05-21 19:20:00,1
2019-05-22 09:18:00,1
2019-05-22 20:16:00,1
2019-05-23 04:26:00,1
2019-05-23 09:06:00,1
2019-05-23 23:43:00,1
2019-05-24 22:20:00,1
2019-05-24 23:41:00,1
2019-05-25 00:02:00,1
2019-05-27 12:42:00,1
2019-05-29 03:05:00,1
2019-05-30 23:29:00,1
2019-05-31 03:32:00,1
2019-06-01 18:17:00,1
2019-06-03 15:25:00,1
2019-06-04 14:47:00,1
2019-06-11 16:15:00,1
2019-06-11 17:27:00,1
2019-06-13 06:52:00,1
2019-06-14 08:25:00,1
2019-06-15 00:02:00,1
2019-06-17 11:24:00,1
2019-06-19 01:30:00,1
2019-06-19 13:42:00,1
2019-06-21 07:01:00,1
2019-06-22 01:12:00,1
2019-06-23 16:39:00,1
2019-06-23 21:02:00,1
2019-06-23 23:58:00,1
2019-06-24 19:07:00,1
2019-06-25 15:50:00,1
2019-06-27 02:38:00,1
2019-06-27 10:42:00,1
2019-06-29 16:47:00,1
2019-06-30 14:53:00,1
2019-07-01 10:21:00,1
2019-07-02 16:05:00,1
2019-07-06 07:27:00,1
2019-07-07 02:05:00,1
2019-07-07 22:04:00,1
2019-07-12 16:04:00,1
2019-07-14 09:57:00,1
2019-07-14 19:51:00,1
2019-07-16 04:08:00,1
2019-07-17 20:26:00,1
2019-07-18 12:05:00,1
2019-07-19 00:39:00,1
2019-07-20 00:39:00,1
2019-07-20 03:05:00,1
2019-07-20 04:47:00,1
2019-07-22 02:01:00,1
2019-07-22 08:06:00,1
2019-07-23 15:42:00,1
2019-07-25 22:42:00,1
2019-07-28 22:12:00,1
2019-07-30 04:15:00,1
2019-07-30 22:43:00,1
2019-08-04 23:32:00,1
2019-08-08 20:55:00,1
2019-08-09 17:58:00,1
2019-08-12 20:46:00,1
2019-08-13 17:08:00,1
2019-08-13 19:15:00,1
2019-08-16 15:18:00,1
2019-08-20 04:02:00,1
2019-08-21 02:09:00,1
2019-08-22 16:38:00,1
2019-08-22 21:49:00,1
2019-08-23 14:31:00,1
2019-08-23 17:24:00,1
2019-08-24 12:09:00,1
2019-08-24 12:33:00,1
2019-08-25 00:59:00,1
2019-08-30 13:11:00,1
2019-08-30 14:38:00,1
2019-08-31 18:50:00,1
2019-08-31 21:02:00,1
2019-09-02 12:16:00,1
2019-09-03 19:38:00,1
2019-09-05 13:04:00,1
2019-09-08 08:54:00,1
2019-09-08 11:49:00,1
2019-09-08 17:35:00,1
2019-09-11 19:06:00,1
2019-09-11 23:10:00,1
2019-09-15 06:29:00,1
2019-09-17 12:36:00,1
2019-09-17 17:25:00,1
2019-09-17 23:14:00,1
2019-09-18 12:27:00,1
2019-09-18 23:52:00,1
2019-09-19 02:48:00,1
2019-09-19 17:44:00,1
2019-09-19 18:34:00,1
2019-09-20 06:23:00,1
2019-09-20 10:53:00,1
2019-09-21 16:38:00,1
2019-09-23 22:02:00,1
2019-09-24 00:14:00,1
2019-09-24 17:09:00,1
2019-09-25 07:44:00,1
2019-09-29 19:14:00,1
2019-10-03 16:54:00,1
2019-10-04 13:43:00,1
2019-10-08 19:51:00,1
2019-10-08 20:14:00,1
2019-10-10 07:18:00,1
2019-10-10 14:15:00,1
2019-10-11 04:28:00,1
2019-10-14 00:55:00,1
2019-10-14 03:19:00,1
2019-10-14 05:03:00,1
2019-10-16 12:18:00,1
2019-10-16 16:25:00,1
2019-10-17 01:13:00,1
2019-10-17 12:55:00,1
2019-10-17 19:36:00,1
2019-10-19 10:19:00,1
2019-10-21 02:38:00,1
2019-10-21 20:02:00,1
2019-10-22 01:04:00,1
2019-10-22 07:31:00,1
2019-10-22 16:23:00,1
2019-10-23 11:27:00,1
2019-10-23 14:25:00,1
2019-10-23 21:39:00,1
2019-10-27 13:25:00,1
2019-10-28 20:26:00,1
2019-10-29 02:24:00,1
2019-10-29 16:21:00,1
2019-10-29 20:47:00,2
2019-10-29 20:49:00,1
2019-10-30 21:28:00,1
2019-11-01 09:28:00,1
2019-11-02 07:24:00,1
2019-11-02 10:50:00,1
2019-11-02 14:25:00,1
2019-11-02 20:58:00,1
2019-11-04 16:48:00,1
2019-11-05 05:57:00,1
2019-11-07 05:15:00,1
2019-11-08 19:19:00,1
2019-11-09 10:14:00,1
2019-11-10 11:27:00,1
2019-11-12 18:56:00,1
2019-11-13 17:54:00,1
2019-11-14 04:43:00,1
2019-11-14 18:27:00,1
2019-11-14 20:01:00,1
2019-11-14 20:38:00,1
2019-11-15 03:44:00,1
2019-11-15 04:18:00,1
2019-11-16 06:58:00,1
2019-11-16 07:15:00,1
2019-11-16 16:00:00,1
2019-11-18 01:43:00,1
2019-11-18 23:44:00,1
2019-11-19 07:14:00,1
2019-11-22 10:11:00,1
2019-11-22 15:53:00,1
2019-11-23 17:00:00,1
2019-11-24 06:09:00,1
2019-11-24 19:11:00,1
2019-11-27 10:05:00,1
2019-11-29 03:01:00,1
2019-11-30 02:57:00,1
2019-12-01 08:41:00,1
2019-12-01 20:24:00,1
2019-12-04 11:27:00,1
2019-12-05 15:38:00,1
2019-12-05 21:11:00,1
2019-12-07 21:37:00,1
2019-12-09 02:41:00,1
2019-12-09 07:20:00,1
2019-12-09 21:45:00,1
2019-12-10 04:36:00,1
2019-12-10 13:47:00,1
2019-12-11 11:40:00,1
2019-12-12 02:31:00,1
2019-12-12 15:07:00,1
2019-12-12 19:44:00,1
2019-12-13 12:32:00,1
2019-12-13 13:33:00,1
2019-12-14 10:30:00,1
2019-12-15 09:17:00,1
2019-12-16 04:28:00,1
2019-12-16 22:55:00,1
2019-12-17 03:45:00,1
2019-12-20 09:10:00,1
2019-12-20 17:24:00,1
2019-12-20 19:55:00,1
2019-12-22 06:52:00,2
2019-12-22 07:05:00,1
2019-12-22 15:23:00,1
2019-12-23 22:27:00,1
2019-12-23 22:44:00,1
2019-12-24 00:21:00,1
2019-12-25 05:51:00,1
2019-12-26 03:15:00,1
2019-12-26 15:23:00,1
2019-12-26 18:24:00,1
2019-12-27 07:29:00,1
2019-12-28 23:55:00,1
