204,"SELECT TOP # # + cast (p.objId as varchar (#) ) +# + cast (p.objId as varchar (#) ) + # as objID, p.run, p.rerun, p.camcol, p.field, p.obj, p.type, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z FROM fGetObjFromRect (#, #, #, #) n, PhotoPrimary p WHERE n.objID = p.objID"
2019-01-02 00:56:00,1
2019-01-03 10:58:00,1
2019-01-04 23:34:00,1
2019-01-04 23:36:00,1
2019-01-06 07:21:00,1
2019-01-10 23:44:00,2
2019-01-14 02:29:00,1
2019-01-14 02:30:00,2
2019-01-14 02:31:00,2
2019-01-14 02:36:00,1
2019-01-14 04:05:00,1
2019-01-15 18:28:00,1
2019-01-22 21:23:00,1
2019-01-24 09:38:00,1
2019-01-25 15:38:00,1
2019-01-30 07:44:00,2
2019-01-30 07:45:00,1
2019-01-30 07:47:00,1
2019-01-31 21:56:00,1
2019-02-03 04:00:00,1
2019-02-04 12:08:00,1
2019-02-12 01:46:00,1
2019-02-15 21:13:00,1
2019-02-16 19:50:00,1
2019-02-17 10:25:00,1
2019-02-17 10:26:00,1
2019-02-17 12:21:00,1
2019-02-17 12:42:00,1
2019-02-18 08:58:00,1
2019-02-22 11:31:00,1
2019-02-28 04:22:00,1
2019-03-02 02:38:00,1
2019-03-03 12:15:00,1
2019-03-05 15:24:00,1
2019-03-07 02:27:00,1
2019-03-07 02:52:00,1
2019-03-07 02:53:00,1
2019-03-07 03:00:00,1
2019-03-07 03:01:00,1
2019-03-07 14:13:00,1
2019-03-09 13:27:00,1
2019-03-19 07:16:00,1
2019-03-19 07:17:00,1
2019-03-21 18:42:00,1
2019-03-21 18:44:00,1
2019-03-21 18:45:00,1
2019-03-21 18:46:00,1
2019-03-22 18:43:00,1
2019-03-24 19:33:00,1
2019-03-24 19:34:00,1
2019-03-26 09:30:00,1
2019-04-04 18:33:00,1
2019-04-06 01:01:00,1
2019-04-06 01:02:00,1
2019-04-06 01:03:00,1
2019-04-10 02:33:00,1
2019-04-14 16:41:00,1
2019-04-16 07:19:00,1
2019-04-18 04:18:00,1
2019-04-19 18:11:00,1
2019-04-23 11:45:00,1
2019-04-23 11:55:00,1
2019-04-23 11:56:00,1
2019-04-23 11:57:00,2
2019-04-23 12:01:00,1
2019-04-24 01:11:00,1
2019-05-01 17:55:00,1
2019-05-01 18:15:00,1
2019-05-01 18:16:00,1
2019-05-01 18:17:00,2
2019-05-01 20:13:00,1
2019-05-01 20:16:00,1
2019-05-01 20:33:00,2
2019-05-01 20:54:00,1
2019-05-01 20:56:00,2
2019-05-01 22:39:00,1
2019-05-02 19:08:00,1
2019-05-03 14:27:00,1
2019-05-04 23:33:00,1
2019-05-05 15:02:00,1
2019-05-05 23:29:00,1
2019-05-06 19:29:00,1
2019-05-07 10:58:00,1
2019-05-09 07:41:00,1
2019-05-09 12:03:00,2
2019-05-14 16:29:00,1
2019-05-28 17:28:00,1
2019-05-28 22:31:00,2
2019-05-28 22:32:00,1
2019-05-28 22:33:00,1
2019-05-31 14:09:00,1
2019-05-31 14:12:00,1
2019-05-31 14:14:00,2
2019-05-31 14:20:00,3
2019-05-31 19:23:00,1
2019-06-04 10:19:00,1
2019-06-09 07:33:00,1
2019-06-09 07:37:00,1
