75,"SELECT TOP # pobj.ra, pobj.dec, pz.z, pobj.dered_u, pobj.dered_g, pobj.dered_r, pobj.dered_i, pobj.dered_z, pobj.type, pobj.objID, pz.objID from PhotoObjAll as pobj JOIN Photoz as pz ON pz.objID = pobj.objID WHERE pobj.ra BETWEEN # AND # AND pobj.type = #"
2019-01-21 20:51:00,13
2019-01-21 20:52:00,24
2019-01-21 20:55:00,10
2019-01-21 20:56:00,8
2019-01-21 20:57:00,2
2019-01-21 20:58:00,2
2019-01-21 23:02:00,1
2019-01-21 23:04:00,1
2019-01-21 23:11:00,1
2019-01-21 23:12:00,1
2019-01-21 23:16:00,2
2019-01-21 23:17:00,2
2019-01-21 23:18:00,1
2019-01-21 23:21:00,1
2019-01-21 23:22:00,1
2019-01-21 23:25:00,1
2019-01-21 23:26:00,1
2019-01-21 23:29:00,1
2019-01-21 23:30:00,1
2019-01-21 23:31:00,1
