2,"SELECT p.objid. p.ra, p.dec, s.plate, s.mjd, s.fiberid FROM Galaxy as p, dr9.Galaxy as q JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE objid = #"
2019-05-15 06:04:00,1
2019-05-15 06:05:00,1
