1601,"SELECT count (*) FROM Galaxy as p, SpecObj as s where p.mode = # AND s.zWarning = # AND p.specObjId = s.specObjId AND p.dec > # AND p.dec < # AND p.clean = # AND p.ra > # AND p.ra < # AND p.dec > # AND p.dec < #"
2019-11-08 10:45:00,267
2019-11-08 10:46:00,1006
2019-11-08 10:47:00,69
2019-11-08 10:54:00,31
2019-11-08 10:55:00,25
2019-11-08 12:07:00,25
2019-11-08 12:14:00,31
2019-11-08 12:15:00,29
2019-11-08 12:17:00,27
2019-11-08 12:20:00,31
2019-11-08 12:22:00,60
