20,"SELECT TOP # survey, plate, mjd, fiberid, bestobjid, z FROM specObj WHERE class = # AND zWarning = # AND # < = z AND z < =# ORDER BY NEWID ()"
2019-03-27 19:40:00,1
2019-03-27 19:41:00,1
2019-03-28 21:17:00,1
2019-03-30 15:23:00,1
2019-03-30 15:27:00,1
2019-03-30 15:28:00,2
2019-03-31 18:37:00,1
2019-03-31 18:38:00,1
2019-03-31 18:39:00,1
2019-03-31 18:40:00,1
2019-03-31 20:05:00,1
2019-04-03 19:18:00,1
2019-04-07 04:25:00,1
2019-04-14 18:34:00,1
2019-04-27 15:23:00,1
2019-05-08 14:24:00,1
2019-05-08 14:40:00,1
2019-05-08 14:43:00,2
