214,"select o.objID, o.ra, o.dec, o.rerun, o.run, o.camcol, o.field from PhotoObjAll o where o.ra between # and # and o.dec between # and #"
2019-01-14 16:03:00,1
2019-01-14 16:05:00,1
2019-01-15 10:32:00,1
2019-01-15 10:34:00,1
2019-01-15 12:23:00,1
2019-01-15 12:49:00,1
2019-01-29 00:14:00,6
2019-01-29 00:15:00,13
2019-01-29 00:16:00,21
2019-03-09 14:05:00,16
2019-03-09 14:06:00,17
2019-03-09 14:07:00,13
2019-03-09 14:08:00,45
2019-03-09 14:09:00,6
2019-03-09 14:10:00,9
2019-03-09 14:11:00,29
2019-03-09 14:12:00,20
2019-03-09 14:13:00,1
2019-03-11 17:00:00,2
2019-03-18 14:54:00,2
2019-03-18 14:56:00,3
2019-03-18 14:58:00,2
2019-03-18 15:02:00,2
2019-03-18 17:04:00,1
