5,"select p.objid, p.ra, p.dec, s.z as redshift into mydb.Galaxies_dr1#_z_mt_#_# from Galaxy p, specobj s where p.objid = s.bestobjid and s.z> #"
2019-08-19 08:02:00,3
2019-08-19 08:39:00,1
2019-08-19 08:40:00,1
