32,"SELECT ALL z as Redshift, dered_u as u, dered_g as g, dered_r as r, dered_i as i, dered_z as z FROM SpecPhotoAll WHERE type = # AND z BETWEEN # AND # AND zErr < #"
2019-09-09 21:03:00,1
2019-09-09 21:04:00,2
2019-09-14 20:38:00,1
2019-09-15 14:46:00,2
2019-09-15 15:30:00,1
2019-09-16 01:39:00,1
2019-09-16 19:51:00,2
2019-09-17 19:20:00,2
2019-09-17 19:25:00,1
2019-09-17 19:29:00,2
2019-09-18 17:03:00,1
2019-09-18 17:27:00,1
2019-09-18 17:46:00,2
2019-09-18 21:45:00,1
2019-09-19 05:40:00,1
2019-09-19 05:41:00,3
2019-09-19 05:42:00,2
2019-09-19 05:44:00,1
2019-09-19 09:58:00,1
2019-09-19 09:59:00,1
2019-09-19 14:45:00,1
2019-09-19 14:55:00,1
2019-12-05 00:02:00,1
