2,"select top # elodieFeH, elodieTEff, elodieObject, elodieSpType, elodieLogG, elodieBV, wCoverage, spectroSynFlux_u from specObj where class = # AND elodieTEff > # AND elodieFeH = #"
2019-06-26 07:45:00,1
2019-06-26 08:16:00,1
