47,"SELECT TOP # p.ra, p.dec, p.run, p.rerun, p.camCol, p.field, p.obj, IS# (s.plate, #) as plate, IS# (s.mjd, #) as mjd, IS# (s.fiberid, #) as fiberid FROM BESTDR7..PhotoObj AS p LEFT OUTER JOIN BESTDR7..SpecObj s ON p.objID = s.bestObjID JOIN #x AS x ON x.objID = p.objID JOIN #upload AS u ON u.up_id = x.up_id WHERE (p.type = # OR p.type = #) ORDER BY x.up_id"
2019-02-24 05:19:00,1
2019-02-24 05:30:00,1
2019-02-24 05:56:00,2
2019-02-24 13:54:00,1
2019-02-24 14:31:00,1
2019-02-24 14:33:00,1
2019-02-24 17:50:00,1
2019-02-24 17:59:00,1
2019-02-27 09:32:00,1
2019-03-04 08:42:00,1
2019-03-04 10:25:00,2
2019-03-05 15:10:00,1
2019-03-06 06:26:00,2
2019-03-06 06:27:00,1
2019-03-09 08:58:00,1
2019-03-09 09:01:00,1
2019-03-09 09:34:00,1
2019-03-09 09:47:00,1
2019-03-30 15:39:00,1
2019-05-02 12:26:00,1
2019-05-02 12:28:00,1
2019-05-02 12:37:00,1
2019-05-02 12:40:00,2
2019-05-04 13:51:00,1
2019-05-06 08:42:00,1
2019-06-19 07:30:00,1
2019-06-19 07:33:00,1
2019-06-19 08:43:00,1
2019-08-05 00:34:00,1
2019-08-05 00:40:00,3
2019-09-26 17:37:00,1
2019-09-26 17:40:00,1
2019-09-27 15:14:00,1
2019-10-15 09:51:00,1
2019-10-15 09:58:00,1
2019-10-15 10:03:00,1
2019-10-16 15:32:00,1
2019-11-03 11:35:00,1
2019-11-04 05:41:00,1
2019-11-14 11:19:00,1
2019-11-23 15:08:00,1
