3,"SELECT Zipcode, sum (Permit_Number) , sum (#) FROM SFViolations INNER JOIN SFParklets ON SFViolations.[Permit_ZipCode] = SFParklets.[Zipcode]"
2019-02-11 13:06:00,1
2019-02-11 13:07:00,2
