6,"SELECT TOP # CONVERT (DECIMAL (#, #) , p.ra) , CONVERT (DECIMAL (#, #) , p.modelMag_u) FROM photoObjAll AS p"
2019-04-20 04:51:00,1
2019-04-20 04:53:00,2
2019-04-20 04:55:00,3
