103,"SELECT TOP # specObjID, survey, bestobjid, z /*Table of top A random objects with redshift, survey they are in, and object ID for searching*/ FROM SpecObj /*Objects with spectra*/ WHERE class = # /* The objects shown will all be QSO#sdss#boss') /*searching across both the legacy and boss surveys (and not other surveys) */ order by newid () /* This is the randomisation algorithm */"
2019-04-02 10:10:00,1
2019-04-02 10:11:00,1
2019-04-02 10:24:00,1
2019-04-02 10:49:00,1
2019-04-02 11:36:00,1
2019-04-02 11:59:00,1
2019-04-02 12:19:00,1
2019-04-02 12:44:00,1
2019-04-02 13:34:00,1
2019-04-02 13:42:00,1
2019-04-02 14:23:00,1
2019-04-03 00:44:00,1
2019-04-03 00:46:00,1
2019-04-03 00:47:00,2
2019-04-03 00:48:00,2
2019-04-03 09:22:00,1
2019-04-03 10:20:00,1
2019-04-03 12:20:00,2
2019-04-03 12:21:00,1
2019-04-03 15:19:00,2
2019-04-04 14:59:00,1
2019-04-04 15:02:00,1
2019-04-04 15:04:00,1
2019-04-04 15:05:00,1
2019-04-04 15:06:00,1
2019-04-04 15:08:00,1
2019-04-04 15:09:00,2
2019-04-04 15:10:00,1
2019-04-04 15:11:00,1
2019-04-04 15:13:00,1
2019-04-04 15:14:00,2
2019-04-04 16:17:00,3
2019-04-04 16:18:00,2
2019-04-04 16:19:00,1
2019-04-05 12:41:00,1
2019-04-07 00:42:00,1
2019-04-08 13:14:00,1
2019-04-10 09:00:00,1
2019-04-10 18:45:00,1
2019-04-10 19:46:00,1
2019-04-10 20:43:00,1
2019-04-10 21:24:00,1
2019-04-10 22:06:00,1
2019-04-10 22:48:00,2
2019-04-12 09:56:00,1
2019-04-12 10:12:00,1
2019-04-12 20:53:00,1
2019-04-13 08:51:00,1
2019-04-14 10:03:00,1
2019-04-14 14:10:00,1
2019-04-14 14:16:00,2
2019-04-14 14:17:00,2
2019-04-14 14:18:00,3
2019-04-14 14:20:00,1
2019-04-14 14:21:00,3
2019-04-14 14:22:00,1
2019-04-14 14:23:00,1
2019-04-14 14:24:00,2
2019-04-14 14:58:00,1
2019-04-14 15:22:00,1
2019-04-14 15:32:00,1
2019-04-14 15:40:00,1
2019-04-14 16:09:00,1
2019-04-14 16:13:00,1
2019-04-14 16:14:00,1
2019-04-14 16:15:00,1
2019-04-14 16:16:00,1
2019-04-14 16:17:00,2
2019-04-14 16:18:00,1
2019-04-14 16:48:00,2
2019-04-14 16:55:00,1
2019-04-14 17:00:00,1
2019-04-14 20:33:00,1
2019-04-14 20:42:00,1
2019-04-14 20:45:00,1
2019-04-14 20:50:00,1
2019-04-15 12:27:00,1
2019-04-15 12:28:00,1
2019-04-15 12:32:00,1
2019-04-15 12:33:00,1
2019-04-15 12:34:00,2
2019-04-18 09:32:00,1
2019-04-18 17:01:00,1
