10,"select count (*) from galaxy p, dbo.fgetNearByObjEq (#, #E-#, #) n where p.objid = n.objid and (p.r BETWEEN # AND #)"
2019-11-13 18:08:00,2
2019-11-13 18:09:00,1
2019-11-13 18:10:00,1
2019-11-13 18:11:00,3
2019-11-13 18:14:00,2
2019-11-13 18:23:00,1
