3,"SELECT TOP # p.ra, p.dec FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE s.class = # AND p.ra NOT BETWEEN # AND # AND p.dec BETWEEN # AND #"
2019-10-21 05:50:00,1
2019-10-21 05:52:00,1
2019-10-21 05:53:00,1
