15,SELECT COUNT (*) FROM SpecObj WHERE class = # AND zWarning = # AND survey IN () AND z BETWEEN # and #
2019-03-07 18:14:00,2
2019-03-07 18:15:00,2
2019-03-07 18:16:00,4
2019-03-07 18:17:00,2
2019-03-07 18:18:00,3
2019-03-07 18:22:00,2
