30146,"SELECT objid, ra, dec, class, z as redshift FROM SpecPhoto WHERE z > # AND z < # AND class = GALAXY#"
2019-10-03 22:26:00,1
2019-10-03 22:28:00,1
2019-10-03 22:29:00,1
2019-10-03 22:30:00,40
2019-10-03 22:31:00,127
2019-10-03 22:32:00,59
2019-10-06 16:22:00,1
2019-10-06 16:29:00,3
2019-10-06 16:30:00,47
2019-10-06 16:31:00,41
2019-10-06 16:32:00,26
2019-10-06 16:33:00,27
2019-10-06 16:34:00,27
2019-10-06 16:35:00,29
2019-10-08 18:54:00,1
2019-10-08 18:55:00,20
2019-10-08 18:56:00,17
2019-10-08 18:57:00,16
2019-10-08 18:58:00,16
2019-10-08 18:59:00,16
2019-10-08 19:00:00,16
2019-10-08 19:01:00,16
2019-10-08 19:02:00,15
2019-10-08 19:03:00,14
2019-10-08 19:04:00,13
2019-10-08 19:05:00,16
2019-10-08 19:06:00,13
2019-10-08 19:07:00,8
2019-10-08 20:21:00,85
2019-10-08 20:33:00,129
2019-10-08 20:34:00,71
2019-10-08 20:41:00,7
2019-10-08 20:42:00,39
2019-10-08 20:43:00,30
2019-10-08 20:44:00,24
2019-10-08 20:45:00,29
2019-10-08 20:46:00,36
2019-10-08 20:47:00,32
2019-10-08 20:48:00,35
2019-10-08 20:49:00,62
2019-10-08 20:50:00,65
2019-10-08 20:51:00,55
2019-10-08 20:52:00,59
2019-10-08 20:53:00,96
2019-10-08 20:54:00,99
2019-10-08 20:55:00,63
2019-10-08 20:56:00,51
2019-10-08 20:57:00,31
2019-10-08 20:58:00,24
2019-10-08 20:59:00,23
2019-10-08 21:00:00,30
2019-10-08 21:01:00,34
2019-10-08 21:02:00,29
2019-10-08 21:03:00,24
2019-10-08 21:04:00,25
2019-10-08 21:05:00,37
2019-10-08 21:06:00,29
2019-10-08 21:07:00,25
2019-10-08 21:08:00,26
2019-10-08 21:09:00,26
2019-10-08 21:10:00,27
2019-10-08 21:11:00,31
2019-10-08 21:12:00,32
2019-10-08 21:13:00,29
