29,"SELECT TOP # specObjID, z, survey FROM SpecObj WHERE class = # AND zWarning = # AND z BETWEEN # and # and (survey = # or survey = #) order by newid ()"
2019-03-29 11:21:00,1
2019-03-29 11:22:00,1
2019-03-29 17:23:00,1
2019-03-30 09:49:00,1
2019-03-30 09:55:00,1
2019-03-30 09:58:00,1
2019-03-30 12:54:00,1
2019-03-30 12:58:00,6
2019-03-30 13:05:00,7
2019-03-30 13:07:00,3
2019-03-31 18:32:00,1
2019-03-31 18:33:00,1
2019-03-31 18:34:00,1
2019-03-31 18:35:00,1
2019-03-31 18:36:00,1
2019-03-31 18:39:00,1
