6,"SELECT TOP # s.plate, s.mjd, s.fiberid FROM BESTDR9..SpecObj as s JOIN dbo.fGetNearbySpecObjEq (#, #, #) AS b ON b.SpecobjID = S.SpecobjID JOIN PhotoObj AS p ON s.bestobjid = p.objid WHERE s.zWarning = # AND (s.class = #) AND p.g > # AND p.g < #"
2019-06-13 07:35:00,1
2019-06-13 07:36:00,5
