33,select top # * from [Table_#_#_mass_#_#]
2019-08-29 13:14:00,1
2019-08-29 13:25:00,1
2019-08-29 13:34:00,1
2019-08-29 17:28:00,1
2019-08-29 17:32:00,1
2019-08-29 17:34:00,1
2019-08-29 18:17:00,1
2019-08-29 18:41:00,1
2019-11-20 13:33:00,1
2019-11-20 13:50:00,1
2019-11-20 13:52:00,1
2019-11-20 13:56:00,1
2019-11-21 08:13:00,1
2019-11-21 08:16:00,1
2019-11-21 08:28:00,1
2019-11-21 11:54:00,1
2019-11-21 11:56:00,1
2019-11-21 12:03:00,1
2019-11-21 12:04:00,2
2019-12-16 10:25:00,1
2019-12-16 10:29:00,1
2019-12-16 10:30:00,1
2019-12-16 10:36:00,1
2019-12-16 10:41:00,1
2019-12-16 10:45:00,1
2019-12-16 10:52:00,1
2019-12-16 11:00:00,1
2019-12-16 11:08:00,1
2019-12-16 11:15:00,1
2019-12-25 08:15:00,1
2019-12-25 08:19:00,1
2019-12-25 08:24:00,1
