8,"select p.objid, p.ra, p.dec from photoobj p, dbo.fgetNearByObjEq (#, #, #) n where p.objid = n.objid"
2019-02-08 12:22:00,1
2019-05-08 09:23:00,1
2019-07-24 09:19:00,1
2019-07-24 09:24:00,2
2019-10-14 21:12:00,1
2019-12-08 09:14:00,1
2019-12-10 06:17:00,1
