3,"select all P.objid, P.ra as sdss_ra, P.dec as sdss_dec, W.ra as wise_ra, W.dec as wise_dec, S.specobjid, S.class, S.z as redshift, s.plate, s.mjd, s.fiberid, P.dered_u, P.dered_g, P.dered_r, P.dered_i, P.dered_z, P.err_u, P.err_g, P.err_r, P.err_i, P.err_z, W.w1mpro, W.w2mpro, W.w3mpro, W.w4mpro, W.w1sigmpro, W.w2sigmpro, W.w3sigmpro, W.w4sigmpro from dbo.WISE_xmatch as X join dbo.WISE_allsky as W on X.wise_cntr = W.cntr join dbo.PhotoObjAll as P on X.sdss_objid = P.objid join dbo.SpecObjAll as S on objid = P.objid where #*W.w1sigmpro < # and #*W.w2sigmpro < # and #*W.w3sigmpro < # and #*P.err_u < # and #*P.err_g < # and #*P.err_r < # and #*P.err_i < # and #*P.err_z < #"
2019-12-17 01:21:00,1
2019-12-17 01:26:00,1
2019-12-17 01:28:00,1
