1537,select * from zooConfidence where objid = #
2019-01-01 00:15:00,1
2019-01-01 00:32:00,1
2019-01-01 05:12:00,1
2019-01-01 11:00:00,1
2019-01-01 11:59:00,1
2019-01-01 14:29:00,1
2019-01-01 18:44:00,2
2019-01-01 19:33:00,1
2019-01-01 19:49:00,1
2019-01-01 20:53:00,1
2019-01-01 21:05:00,1
2019-01-01 21:12:00,1
2019-01-02 08:04:00,1
2019-01-02 09:03:00,1
2019-01-02 09:19:00,1
2019-01-02 12:03:00,1
2019-01-02 13:12:00,1
2019-01-02 16:03:00,1
2019-01-02 17:16:00,1
2019-01-02 18:42:00,1
2019-01-02 19:47:00,1
2019-01-02 20:59:00,1
2019-01-02 21:02:00,1
2019-01-02 22:33:00,1
2019-01-02 22:54:00,1
2019-01-02 23:26:00,1
2019-01-03 00:24:00,1
2019-01-03 01:31:00,1
2019-01-03 01:42:00,1
2019-01-03 01:44:00,1
2019-01-03 02:51:00,1
2019-01-03 04:49:00,1
2019-01-03 05:19:00,1
2019-01-03 08:06:00,1
2019-01-03 08:35:00,1
2019-01-03 08:58:00,1
2019-01-03 09:11:00,1
2019-01-03 09:47:00,1
2019-01-03 10:06:00,1
2019-01-03 11:48:00,1
2019-01-03 16:48:00,1
2019-01-03 18:50:00,1
2019-01-03 20:07:00,2
2019-01-04 00:38:00,1
2019-01-04 00:41:00,2
2019-01-04 01:00:00,1
2019-01-04 01:30:00,1
2019-01-04 03:12:00,1
2019-01-04 03:48:00,1
2019-01-04 04:28:00,1
2019-01-04 04:29:00,1
2019-01-04 07:28:00,1
2019-01-04 07:34:00,1
2019-01-04 08:22:00,1
2019-01-04 10:43:00,2
2019-01-04 10:46:00,1
2019-01-04 11:43:00,1
2019-01-04 11:59:00,1
2019-01-04 12:15:00,1
2019-01-04 12:52:00,1
2019-01-04 12:58:00,1
2019-01-04 14:10:00,1
2019-01-04 17:25:00,1
2019-01-04 18:19:00,1
2019-01-04 22:48:00,1
2019-01-05 10:15:00,1
2019-01-05 10:44:00,1
2019-01-05 12:08:00,1
2019-01-05 15:27:00,1
2019-01-05 16:49:00,1
2019-01-05 23:16:00,1
2019-01-06 13:51:00,1
2019-01-06 21:41:00,1
2019-01-07 08:32:00,1
2019-01-08 06:13:00,1
2019-01-08 18:14:00,1
2019-01-08 19:04:00,1
2019-01-08 19:05:00,1
2019-01-09 00:47:00,1
2019-01-09 02:10:00,1
2019-01-09 17:53:00,1
2019-01-11 02:27:00,1
2019-01-11 02:34:00,2
2019-01-12 06:38:00,1
2019-01-12 08:21:00,1
2019-01-21 23:08:00,1
2019-01-22 09:38:00,1
2019-01-22 14:08:00,1
2019-01-23 21:55:00,1
2019-01-24 04:16:00,1
2019-01-24 04:25:00,1
2019-01-25 02:58:00,1
2019-01-25 05:58:00,1
2019-01-26 10:02:00,1
2019-01-27 04:02:00,4
2019-01-27 22:41:00,1
2019-01-28 04:30:00,1
2019-01-28 04:40:00,1
2019-01-28 04:44:00,1
2019-01-28 07:55:00,1
2019-01-28 11:27:00,1
2019-01-28 16:44:00,1
2019-01-28 18:12:00,1
2019-01-28 22:23:00,1
2019-01-29 11:01:00,1
2019-01-29 14:43:00,3
2019-01-29 16:32:00,3
2019-01-29 19:31:00,2
2019-01-29 20:53:00,1
2019-01-30 11:32:00,1
2019-01-30 11:51:00,1
2019-01-30 20:09:00,1
2019-01-30 23:02:00,1
2019-01-31 04:12:00,1
2019-01-31 04:19:00,1
2019-01-31 06:16:00,1
2019-01-31 06:18:00,1
2019-02-01 03:51:00,1
2019-02-01 07:39:00,22
2019-02-01 07:40:00,25
2019-02-01 07:41:00,9
2019-02-01 18:26:00,1
2019-02-02 01:04:00,1
2019-02-02 11:08:00,1
2019-02-02 11:09:00,1
2019-02-02 15:48:00,1
2019-02-02 22:34:00,1
2019-02-03 04:26:00,18
2019-02-03 15:34:00,1
2019-02-10 11:34:00,1
2019-02-10 16:15:00,1
2019-02-14 05:32:00,2
2019-02-20 04:33:00,1
2019-02-20 20:21:00,14
2019-02-20 20:22:00,2
2019-02-21 23:51:00,1
2019-02-24 21:16:00,1
2019-03-01 19:50:00,1
2019-03-10 22:37:00,1
2019-03-12 04:24:00,4
2019-03-12 04:25:00,6
2019-03-13 23:25:00,3
2019-03-14 22:08:00,1
2019-03-18 01:11:00,2
2019-03-26 04:17:00,1
2019-03-28 01:03:00,1
2019-04-01 09:42:00,1
2019-04-02 13:25:00,1
2019-04-02 13:26:00,1
2019-04-04 18:21:00,1
2019-04-04 22:37:00,1
2019-04-13 06:23:00,1
2019-04-14 21:07:00,1
2019-04-17 04:11:00,4
2019-04-18 10:08:00,1
2019-04-19 15:39:00,1
2019-04-19 17:23:00,3
2019-04-20 12:27:00,3
2019-04-21 01:10:00,1
2019-04-21 16:31:00,1
2019-04-22 11:24:00,1
2019-04-22 11:25:00,7
2019-04-22 11:26:00,3
2019-04-22 13:15:00,8
2019-04-22 13:16:00,34
2019-04-22 13:17:00,4
2019-04-22 22:41:00,1
2019-04-24 06:55:00,16
2019-04-24 06:56:00,2
2019-04-29 16:32:00,1
2019-05-05 04:41:00,2
2019-05-11 05:00:00,1
2019-05-14 21:36:00,16
2019-05-15 20:20:00,1
2019-05-15 22:54:00,1
2019-05-15 23:23:00,1
2019-05-22 20:23:00,1
2019-05-25 12:29:00,1
2019-05-26 17:35:00,1
2019-05-27 17:17:00,1
2019-05-29 03:36:00,1
2019-05-30 02:22:00,1
2019-05-30 09:24:00,1
2019-05-31 02:14:00,5
2019-05-31 02:19:00,1
2019-05-31 03:24:00,5
2019-06-01 02:59:00,1
2019-06-03 11:31:00,1
2019-06-03 17:33:00,3
2019-06-05 11:34:00,1
2019-06-05 16:35:00,1
2019-06-05 19:00:00,1
2019-06-06 10:15:00,1
2019-06-06 13:36:00,1
2019-06-06 18:03:00,1
2019-06-06 19:49:00,1
2019-06-07 02:56:00,1
2019-06-07 13:18:00,1
2019-06-07 13:24:00,1
2019-06-07 17:30:00,1
2019-06-08 01:41:00,1
2019-06-08 01:49:00,1
2019-06-08 10:54:00,1
2019-06-08 13:46:00,2
2019-06-08 14:18:00,1
2019-06-08 20:28:00,1
2019-06-09 02:51:00,1
2019-06-09 03:33:00,1
2019-06-09 14:20:00,1
2019-06-09 14:27:00,1
2019-06-09 17:25:00,1
2019-06-09 18:33:00,1
2019-06-09 19:10:00,1
2019-06-10 02:51:00,1
2019-06-10 11:12:00,1
2019-06-10 14:36:00,1
2019-06-10 20:47:00,1
2019-06-11 00:52:00,1
2019-06-11 03:10:00,1
2019-06-11 03:51:00,1
2019-06-11 11:50:00,1
2019-06-11 14:50:00,1
2019-06-11 17:38:00,1
