301,"SELECT p.objid, p.dered_u AS u, p.psfMagErr_u as u_err, p.dered_g AS g, p.psfMagErr_g as g_err, p.dered_r AS r, p.psfMagErr_r as r_err, p.dered_i AS i, p.psfMagErr_i as i_err, p.dered_z AS z, p.psfMagErr_z as z_err FROM photoObj p JOIN dbo.fGetNearbyObjEq (#, #, #) n ON p.objid = n.objID WHERE p.type = # AND p.psfMag_g BETWEEN # AND # AND p.psfMag_u/p.psfMagerr_u > # AND p.psfMag_g/p.psfMagerr_g > # AND p.psfMag_r/p.psfMagerr_r > # AND p.psfMag_i/p.psfMagerr_i > # AND p.psfMag_z/p.psfMagerr_z > #"
2019-03-21 16:58:00,1
2019-03-25 12:30:00,1
2019-03-25 12:58:00,1
2019-03-26 17:51:00,1
2019-03-27 16:00:00,1
2019-04-18 15:30:00,1
2019-04-18 15:38:00,1
2019-04-18 16:09:00,1
2019-04-18 16:13:00,1
2019-04-18 16:19:00,1
2019-04-18 16:30:00,1
2019-04-18 16:33:00,1
2019-04-18 16:45:00,1
2019-04-18 16:48:00,1
2019-04-18 16:54:00,1
2019-04-18 16:55:00,1
2019-04-18 16:59:00,1
2019-04-18 17:09:00,1
2019-04-18 17:14:00,1
2019-04-21 13:59:00,1
2019-04-21 14:00:00,5
2019-04-21 14:03:00,1
2019-04-21 14:21:00,1
2019-04-21 14:28:00,1
2019-04-21 14:32:00,1
2019-04-21 14:37:00,1
2019-04-21 14:41:00,1
2019-04-21 14:42:00,1
2019-04-21 14:51:00,1
2019-04-24 11:14:00,4
2019-04-24 11:15:00,5
2019-04-24 11:22:00,1
2019-04-24 11:24:00,1
2019-04-24 11:26:00,1
2019-04-24 11:31:00,1
2019-04-24 11:35:00,1
2019-04-24 11:45:00,1
2019-04-24 11:50:00,1
2019-04-24 11:59:00,1
2019-04-24 12:04:00,1
2019-04-24 12:05:00,1
2019-04-25 15:14:00,1
2019-04-25 15:15:00,12
2019-04-25 15:18:00,1
2019-04-25 15:28:00,1
2019-04-25 15:32:00,1
2019-04-25 15:37:00,1
2019-04-25 15:41:00,1
2019-04-25 15:47:00,1
2019-04-25 15:53:00,1
2019-04-25 15:54:00,1
2019-04-25 16:01:00,1
2019-04-25 16:07:00,1
2019-04-25 16:35:00,1
2019-04-30 12:12:00,1
2019-04-30 12:13:00,1
2019-04-30 12:19:00,15
2019-04-30 12:22:00,1
2019-04-30 12:27:00,1
2019-05-01 11:49:00,2
2019-05-01 15:42:00,1
2019-05-01 15:43:00,9
2019-05-01 15:44:00,8
2019-05-01 15:45:00,1
2019-05-01 15:54:00,1
2019-05-01 16:03:00,1
2019-05-01 16:12:00,1
2019-05-01 16:19:00,1
2019-05-01 16:27:00,1
2019-05-02 10:46:00,1
2019-05-02 10:48:00,3
2019-05-02 10:49:00,4
2019-05-02 10:50:00,4
2019-05-02 10:51:00,5
2019-05-02 10:52:00,3
2019-05-02 11:00:00,1
2019-05-02 11:14:00,1
2019-05-02 13:23:00,1
2019-05-02 18:11:00,1
2019-05-03 11:02:00,20
2019-05-03 11:04:00,1
2019-05-04 15:06:00,1
2019-05-04 15:41:00,16
2019-05-04 15:42:00,5
2019-05-05 12:54:00,1
2019-05-05 13:02:00,2
2019-05-05 13:03:00,1
2019-05-05 13:04:00,1
2019-05-05 13:17:00,1
2019-05-05 13:18:00,4
2019-05-05 13:20:00,2
2019-05-05 13:21:00,1
2019-05-05 14:00:00,2
2019-05-05 14:01:00,1
2019-05-05 18:55:00,1
2019-05-05 18:57:00,1
2019-05-05 18:59:00,1
2019-05-05 19:12:00,1
2019-05-05 19:14:00,1
2019-05-05 19:15:00,19
2019-05-05 19:16:00,2
2019-05-05 19:17:00,1
2019-05-05 19:21:00,1
2019-05-05 19:24:00,1
2019-05-05 19:29:00,1
2019-05-05 19:37:00,1
2019-05-05 19:42:00,1
2019-05-05 19:48:00,1
2019-05-05 19:53:00,1
2019-05-05 19:57:00,1
2019-05-05 20:02:00,1
2019-05-06 11:18:00,2
2019-05-06 11:19:00,24
2019-05-06 11:20:00,3
2019-05-06 11:28:00,1
2019-05-06 13:58:00,1
2019-05-06 14:23:00,1
2019-05-06 15:18:00,2
2019-05-06 15:19:00,22
2019-05-06 15:21:00,1
2019-05-06 15:39:00,1
2019-05-06 17:24:00,1
2019-09-04 19:57:00,1
2019-10-17 12:09:00,1
