2,"SELECT TOP # s.specobjid, s.ra, s.dec, s.class, s.z as redshift FROM SpecObj AS s WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND #"
2019-08-28 10:20:00,1
2019-08-28 10:27:00,1
