1251,"SELECT TOP # p.ra, p.dec, p.type, p.modelmag_g, p.modelmag_r, p.modelmag_i, p.run, p.rerun, p.camcol, p.field, p.obj, p.objid, dbo.fIAUFromEq (p.ra, p.dec) FROM Star as p WHERE p.modelmag_r> # and p.modelmag_r< # and p.ra< # and p.ra> # and p.dec> # and p.dec< # order by p.modelmag_r"
2019-02-01 23:11:00,1
2019-02-01 23:12:00,1
2019-02-01 23:14:00,2
2019-02-01 23:15:00,3
2019-02-01 23:16:00,2
2019-02-01 23:17:00,5
2019-02-01 23:18:00,1
2019-02-01 23:19:00,1
2019-02-01 23:20:00,5
2019-02-01 23:21:00,5
2019-02-01 23:22:00,4
2019-02-01 23:24:00,3
2019-02-04 02:04:00,4
2019-02-04 02:09:00,1
2019-02-04 02:18:00,3
2019-02-04 02:19:00,4
2019-02-04 02:21:00,2
2019-02-04 02:23:00,4
2019-02-04 02:24:00,3
2019-02-04 02:26:00,2
2019-02-04 02:27:00,1
2019-02-04 02:28:00,1
2019-02-04 02:29:00,1
2019-02-04 02:34:00,1
2019-02-04 20:55:00,1
2019-02-04 21:09:00,1
2019-02-04 21:11:00,1
2019-02-04 21:14:00,1
2019-02-04 21:17:00,1
2019-02-04 21:18:00,1
2019-02-04 21:50:00,16
2019-02-04 21:51:00,13
2019-02-04 21:52:00,12
2019-02-04 21:53:00,11
2019-02-04 21:54:00,10
2019-02-04 21:55:00,12
2019-02-04 21:56:00,8
2019-02-04 21:57:00,9
2019-02-04 21:58:00,3
2019-02-04 22:01:00,7
2019-02-04 22:02:00,7
2019-02-04 22:03:00,7
2019-02-04 22:04:00,3
2019-02-04 22:05:00,4
2019-02-04 22:06:00,2
2019-02-05 00:47:00,1
2019-02-05 00:48:00,1
2019-02-05 00:49:00,3
2019-02-05 00:50:00,1
2019-02-05 00:53:00,4
2019-02-05 00:54:00,4
2019-02-05 00:55:00,1
2019-02-05 00:56:00,4
2019-02-05 00:57:00,5
2019-02-05 00:58:00,2
2019-02-05 00:59:00,1
2019-02-05 01:00:00,5
2019-02-05 01:01:00,5
2019-02-05 01:02:00,4
2019-02-05 01:03:00,3
2019-02-05 01:04:00,1
2019-02-05 01:05:00,1
2019-02-05 01:15:00,4
2019-02-05 01:16:00,2
2019-02-05 01:17:00,3
2019-02-05 01:18:00,2
2019-02-05 01:19:00,6
2019-02-05 01:20:00,5
2019-02-05 01:21:00,1
2019-02-05 01:25:00,6
2019-02-05 01:26:00,10
2019-02-05 01:27:00,6
2019-02-05 01:47:00,1
2019-02-05 01:48:00,5
2019-02-05 01:49:00,2
2019-02-05 01:50:00,4
2019-02-05 01:51:00,1
2019-02-05 01:52:00,4
2019-02-05 01:54:00,1
2019-02-05 02:39:00,1
2019-02-05 04:20:00,2
2019-02-05 04:21:00,2
2019-02-05 04:22:00,2
2019-02-05 04:24:00,1
2019-02-05 04:26:00,1
2019-02-05 04:27:00,1
2019-02-05 23:30:00,1
2019-02-05 23:47:00,1
2019-02-05 23:49:00,1
2019-02-05 23:53:00,1
2019-02-05 23:55:00,1
2019-02-06 00:00:00,3
2019-02-06 00:20:00,1
2019-02-06 00:21:00,4
2019-02-06 02:45:00,1
2019-02-06 02:47:00,2
2019-02-06 02:48:00,3
2019-02-06 02:49:00,1
2019-02-06 05:15:00,1
2019-02-06 05:16:00,1
2019-02-06 05:21:00,1
2019-02-06 05:24:00,2
2019-02-06 05:25:00,3
2019-02-07 01:17:00,1
2019-02-07 01:18:00,1
2019-02-07 01:19:00,3
2019-02-07 04:33:00,2
2019-02-07 04:34:00,1
2019-02-07 04:35:00,2
2019-02-07 04:36:00,8
2019-02-07 04:37:00,2
2019-02-07 04:38:00,4
2019-02-07 04:39:00,1
2019-02-07 04:40:00,1
2019-02-07 04:52:00,1
2019-02-07 04:58:00,1
2019-02-07 04:59:00,1
2019-02-07 05:01:00,1
2019-02-07 05:04:00,1
2019-02-07 05:06:00,3
2019-02-07 15:42:00,6
2019-02-07 17:22:00,1
