8,"select top # p.objid, p.ra, p.dec from photoobj p, specobj s where p.objid = s.bestobjid and s.z BETWEEN # AND #"
2019-04-01 00:06:00,1
2019-04-15 10:22:00,1
2019-09-16 04:17:00,2
2019-10-05 08:11:00,2
2019-10-05 08:12:00,1
2019-10-05 08:13:00,1
