68,SELECT * FROM Mag1#_#photo
2019-12-05 07:51:00,2
2019-12-05 07:56:00,2
2019-12-05 07:57:00,1
2019-12-05 08:00:00,1
2019-12-05 08:01:00,3
2019-12-05 08:07:00,2
2019-12-08 09:37:00,1
2019-12-08 09:38:00,1
2019-12-08 09:46:00,1
2019-12-08 10:06:00,1
2019-12-09 00:17:00,2
2019-12-09 00:51:00,1
2019-12-09 00:53:00,1
2019-12-09 00:59:00,1
2019-12-09 01:00:00,2
2019-12-09 01:01:00,2
2019-12-09 01:17:00,1
2019-12-09 02:58:00,2
2019-12-09 02:59:00,1
2019-12-09 03:08:00,2
2019-12-09 03:09:00,3
2019-12-09 03:10:00,1
2019-12-09 07:16:00,2
2019-12-09 08:38:00,3
2019-12-09 08:39:00,2
2019-12-09 08:40:00,1
2019-12-09 09:23:00,1
2019-12-09 09:25:00,1
2019-12-09 10:02:00,1
2019-12-09 10:04:00,2
2019-12-10 05:20:00,1
2019-12-10 05:21:00,3
2019-12-10 05:22:00,2
2019-12-10 05:26:00,1
2019-12-10 08:06:00,1
2019-12-10 09:18:00,1
2019-12-10 09:19:00,1
2019-12-10 09:42:00,1
2019-12-10 09:44:00,1
2019-12-12 04:21:00,1
2019-12-12 04:43:00,2
2019-12-13 04:53:00,1
2019-12-13 04:54:00,3
2019-12-16 07:53:00,1
2019-12-16 07:56:00,1
