4,"SELECT TOP # p.cModelMagErr_g FROM ..PhotoObj AS p JOIN dbo.fGetNearbyObjEq (#, #, #) AS b ON b.objID = P.objID WHERE (p.type = # OR p.type = #)"
2019-11-11 00:10:00,1
2019-11-11 00:11:00,3
