97,"SELECT p.ra, p.dec, s.z as redshift, p.petroRad_r FROM PhotoPrimary AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.ra BETWEEN #-# AND #+# AND p.dec BETWEEN #-# AND #+#"
2019-08-07 15:05:00,2
2019-08-07 15:06:00,8
2019-08-07 15:07:00,3
2019-08-07 15:08:00,1
2019-08-07 15:25:00,1
2019-08-07 15:26:00,5
2019-08-07 15:27:00,5
2019-08-07 15:28:00,2
2019-08-07 15:32:00,2
2019-08-07 15:33:00,4
2019-08-07 15:34:00,3
2019-08-07 15:35:00,4
2019-08-07 15:40:00,1
2019-08-07 15:42:00,1
2019-08-07 15:44:00,1
2019-08-07 15:45:00,1
2019-08-07 15:46:00,5
2019-08-07 15:47:00,7
2019-08-07 15:56:00,6
2019-08-07 15:57:00,3
2019-08-07 15:58:00,4
2019-08-07 16:31:00,1
2019-08-07 16:32:00,2
2019-08-07 18:15:00,1
2019-08-07 18:16:00,2
2019-08-07 18:17:00,7
2019-08-07 18:18:00,3
2019-08-07 20:58:00,7
2019-08-07 20:59:00,5
