5075,"SELECT TOP # P.ra, P.dec, P.type, P.psfMag_r, P.psfMagErr_r, P.petroMag_r, P.petroMagErr_r, P.modelMag_r, P.modelMagErr_r FROM PhotoPrimary as P JOIN dbo.fGetNearbyObjEq (#, #, #) AS PN ON P.objID = PN.objID ORDER BY distance"
2019-02-15 19:32:00,1
2019-03-08 21:37:00,149
2019-03-08 21:38:00,192
2019-03-08 21:39:00,202
2019-03-08 21:40:00,196
2019-03-08 21:41:00,27
2019-03-08 21:43:00,194
2019-03-08 21:44:00,238
2019-03-08 21:45:00,208
2019-03-08 21:46:00,32
2019-03-08 21:48:00,101
2019-03-08 21:49:00,236
2019-03-08 21:50:00,227
2019-03-08 21:51:00,220
2019-03-08 21:52:00,214
2019-03-08 21:53:00,217
2019-03-08 21:54:00,213
2019-03-08 21:55:00,222
2019-03-08 21:56:00,151
2019-06-26 21:11:00,1
2019-06-26 21:12:00,1
2019-06-26 23:09:00,55
2019-06-26 23:10:00,195
2019-06-26 23:11:00,199
2019-06-26 23:12:00,196
2019-06-26 23:13:00,198
2019-06-26 23:14:00,196
2019-06-26 23:15:00,195
2019-06-26 23:16:00,178
2019-06-26 23:17:00,168
2019-06-26 23:18:00,169
2019-06-26 23:19:00,52
2019-07-08 15:12:00,1
2019-07-22 15:25:00,9
2019-07-22 15:26:00,22
