375,"SELECT TOP # s.plate, s.mjd, s.fiberid FROM ..SpecObj as s JOIN PhotoObj AS p ON s.bestobjid = p.objid WHERE (p.i - p.z) > # AND (p.i - p.z) < # AND p.u > # AND s.zWarning = #"
2019-01-01 02:02:00,1
2019-01-01 10:50:00,1
2019-01-01 10:52:00,1
2019-01-01 21:15:00,1
2019-01-02 02:34:00,1
2019-01-02 02:36:00,1
2019-01-04 21:37:00,1
2019-01-05 14:46:00,1
2019-01-07 23:37:00,1
2019-01-08 03:34:00,1
2019-01-08 05:02:00,1
2019-01-08 07:25:00,1
2019-01-08 07:27:00,1
2019-01-10 03:00:00,1
2019-01-13 03:48:00,1
2019-01-13 10:37:00,1
2019-01-13 10:39:00,1
2019-01-17 06:41:00,1
2019-01-17 06:43:00,1
2019-01-17 06:46:00,1
2019-01-22 01:32:00,1
2019-01-23 20:14:00,1
2019-01-24 14:30:00,1
2019-01-24 14:32:00,1
2019-01-27 23:40:00,1
2019-01-27 23:42:00,1
2019-01-28 09:08:00,1
2019-01-29 17:42:00,1
2019-01-30 07:25:00,1
2019-01-30 19:31:00,2
2019-01-30 19:32:00,1
2019-01-31 04:21:00,1
2019-02-05 01:22:00,1
2019-02-08 01:45:00,1
2019-02-08 02:39:00,1
2019-02-08 02:41:00,1
2019-02-08 16:38:00,1
2019-02-08 16:40:00,1
2019-02-10 06:02:00,1
2019-02-12 20:23:00,1
2019-02-12 20:25:00,1
2019-02-14 11:53:00,1
2019-02-14 19:49:00,1
2019-02-15 23:13:00,1
2019-02-17 22:16:00,1
2019-02-17 22:18:00,1
2019-02-20 03:54:00,1
2019-02-23 23:48:00,1
2019-02-26 03:37:00,1
2019-02-26 03:39:00,1
2019-02-28 09:22:00,1
2019-02-28 09:24:00,1
2019-02-28 17:09:00,1
2019-02-28 18:47:00,1
2019-02-28 19:31:00,1
2019-03-01 19:53:00,1
2019-03-01 19:55:00,1
2019-03-01 22:27:00,1
2019-03-01 22:29:00,1
2019-03-02 19:28:00,1
2019-03-03 04:06:00,1
2019-03-03 13:19:00,1
2019-03-03 13:20:00,1
2019-03-03 16:14:00,2
2019-03-03 16:15:00,1
2019-03-05 15:37:00,1
2019-03-07 14:52:00,1
2019-03-08 22:57:00,1
2019-03-08 23:04:00,1
2019-03-09 02:02:00,1
2019-03-09 02:04:00,1
2019-03-09 12:58:00,1
2019-03-10 04:29:00,1
2019-03-11 17:32:00,1
2019-03-13 10:43:00,1
2019-03-17 01:58:00,1
2019-03-17 02:00:00,1
2019-03-22 08:18:00,1
2019-03-22 23:17:00,1
2019-03-25 03:05:00,1
2019-03-25 03:07:00,1
2019-03-26 11:56:00,1
2019-03-26 11:58:00,1
2019-03-29 17:53:00,1
2019-04-01 18:31:00,1
2019-04-04 10:11:00,1
2019-04-04 11:42:00,1
2019-04-05 01:56:00,1
2019-04-05 03:29:00,1
2019-04-05 09:03:00,1
2019-04-05 18:31:00,1
2019-04-07 19:59:00,1
2019-04-07 20:02:00,1
2019-04-09 09:26:00,1
2019-04-09 21:24:00,1
2019-04-11 05:37:00,2
2019-04-12 02:37:00,1
2019-04-14 13:55:00,1
2019-04-14 13:58:00,1
2019-04-18 10:49:00,1
2019-04-18 10:51:00,1
2019-04-18 11:14:00,1
2019-04-18 22:01:00,1
2019-04-20 20:06:00,1
2019-04-20 20:08:00,1
2019-04-21 19:37:00,1
2019-04-22 20:31:00,1
2019-04-23 00:18:00,1
2019-04-23 00:20:00,1
2019-04-23 00:43:00,1
2019-04-23 00:45:00,1
2019-04-23 20:36:00,1
2019-04-24 08:45:00,1
2019-04-24 08:47:00,1
2019-04-25 07:37:00,4
2019-04-26 15:08:00,1
2019-04-27 09:32:00,1
2019-04-27 09:34:00,1
2019-04-28 02:32:00,1
2019-04-28 02:34:00,1
2019-04-28 04:19:00,1
2019-04-28 04:21:00,1
2019-04-28 13:23:00,1
2019-04-30 12:18:00,1
2019-04-30 12:20:00,1
2019-05-01 02:48:00,1
2019-05-02 23:58:00,1
2019-05-03 00:00:00,1
2019-05-03 14:51:00,1
2019-05-10 05:50:00,1
2019-05-13 09:36:00,1
2019-05-13 12:22:00,1
2019-05-16 04:02:00,1
2019-05-16 05:54:00,1
2019-05-16 07:28:00,1
2019-05-17 05:36:00,1
2019-05-17 05:38:00,1
2019-05-17 05:40:00,1
2019-05-17 19:36:00,1
2019-05-21 07:34:00,1
2019-05-21 07:36:00,1
2019-05-21 20:22:00,1
2019-05-21 20:24:00,1
2019-05-24 01:04:00,1
2019-05-24 09:00:00,1
2019-05-25 00:16:00,1
