53,"SELECT TOP # specObjID, z FROM SpecObj WHERE class = # AND zWarning = # AND survey = # AND z BETWEEN # and #"
2019-03-17 10:10:00,1
2019-03-17 10:26:00,1
2019-03-17 10:36:00,1
2019-03-17 10:38:00,1
2019-03-17 11:08:00,2
2019-03-17 11:11:00,1
2019-03-17 17:01:00,1
2019-03-17 17:05:00,1
2019-03-17 17:06:00,1
2019-03-17 17:07:00,1
2019-03-17 17:08:00,1
2019-03-17 17:09:00,2
2019-03-17 17:10:00,1
2019-03-17 17:11:00,1
2019-03-17 17:12:00,1
2019-03-21 13:01:00,1
2019-03-21 13:02:00,1
2019-03-21 13:04:00,2
2019-03-21 13:06:00,3
2019-03-21 13:07:00,3
2019-03-21 13:08:00,3
2019-03-21 13:18:00,1
2019-03-21 13:30:00,1
2019-03-21 13:31:00,1
2019-03-21 13:32:00,1
2019-03-21 13:33:00,2
2019-03-21 13:34:00,6
2019-03-21 13:35:00,1
2019-03-22 16:29:00,1
2019-03-22 16:30:00,1
2019-03-22 16:44:00,1
2019-03-22 16:46:00,1
2019-03-22 16:48:00,1
2019-03-22 16:51:00,1
2019-03-22 16:52:00,1
2019-03-22 16:53:00,1
2019-03-22 16:54:00,1
2019-03-22 16:56:00,1
