33,"SELECT TOP # p.apstar_id, p.apogee_id, p.ra, p.dec, p.glon, p.glat, p.vhelio_avg, p.vscatter, a.teff, a.logg, a.m_h FROM apogeeStar p JOIN fGetNearbyApogeeStarEq (#, #, #) n on p.apstar_id = n.apstar_id JOIN aspcapStar a on a.apstar_id = p.apstar_id JOIN apogeeObject as o ON a.apogee_id = o.apogee_id"
2019-02-13 07:35:00,1
2019-04-02 09:23:00,1
2019-05-01 17:07:00,2
2019-05-01 17:08:00,1
2019-05-03 09:26:00,1
2019-05-03 09:28:00,1
2019-05-03 09:32:00,1
2019-05-03 09:41:00,1
2019-05-03 09:46:00,1
2019-05-30 13:59:00,1
2019-08-21 19:10:00,3
2019-08-21 19:11:00,2
2019-08-21 19:12:00,10
2019-11-18 15:30:00,2
2019-11-18 15:31:00,1
2019-11-18 15:33:00,2
2019-12-08 23:05:00,1
2019-12-14 23:33:00,1
