12,"SELECT TOP # cast (str (p.ra, #, #) as float) as ra, cast (str (p.[dec], #, #) as float) as dec, p.u, p.g, p.r, p.i, p.z, IS# (s.z, #) as redshift FROM ..PhotoObj AS p LEFT OUTER JOIN ..SpecObj s ON p.objID = s.bestObjID JOIN dbo.fGetNearbyObjEq (#, #, #) AS b ON b.objID = P.objID WHERE (p.type = # OR p.type = #)"
2019-01-08 10:28:00,1
2019-01-08 10:30:00,1
2019-01-08 10:31:00,1
2019-01-08 10:36:00,1
2019-01-11 10:25:00,1
2019-01-11 10:38:00,1
2019-02-07 13:15:00,1
2019-03-06 15:30:00,2
2019-03-08 13:59:00,1
2019-03-26 13:10:00,2
