4,"SELECT TOP # s.plate, s.mjd, s.fiberid FROM ..SpecObj as s WHERE s.zWarning = # AND (s.class = #) AND s.z < #"
2019-01-22 17:50:00,2
2019-01-22 17:53:00,1
2019-01-22 17:55:00,1
