111,"SELECT p.objId, p.ra, p.dec, p.petror9#_r, p.expAB_r, p.dered_u as u, p.dered_g as g, p.dered_r as r, p.dered_i as i, s.z, s.plate, s.mjd, s.fiberid, extinction_g FROM galaxy AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.petror9#_r > # and p.ra between # and # and s.z between # and #"
2019-11-22 09:59:00,4
2019-11-22 10:00:00,3
2019-11-22 10:01:00,3
2019-11-22 10:02:00,2
2019-11-22 10:03:00,4
2019-11-22 10:44:00,6
2019-11-23 11:36:00,4
2019-11-23 11:55:00,6
2019-11-25 05:34:00,2
2019-11-25 05:35:00,3
2019-11-25 05:38:00,8
2019-11-25 10:06:00,6
2019-11-25 10:08:00,3
2019-11-25 10:09:00,3
2019-11-25 10:10:00,6
2019-11-25 10:12:00,6
2019-11-26 10:23:00,3
2019-11-26 10:24:00,1
2019-11-27 06:44:00,1
2019-11-27 06:45:00,1
2019-11-27 08:28:00,1
2019-11-28 05:16:00,5
2019-11-29 04:33:00,5
2019-11-29 04:36:00,5
2019-11-29 04:40:00,5
2019-11-29 04:45:00,5
2019-11-29 04:52:00,5
2019-11-29 04:55:00,5
