1011,"select objID, ra, dec, u, r, g, i, z, err_u, err_r, err_g, err_i, err_z, case type when # then # when # then # else # end as class from PhotoPrimary where (ra between #-#./# and #+#./#) and (dec between #-#./# and #+#./#)"
2019-05-08 12:01:00,3
2019-05-08 12:02:00,6
2019-05-08 12:03:00,5
2019-05-08 12:04:00,4
2019-05-08 12:05:00,6
2019-05-08 12:06:00,5
2019-05-08 12:07:00,5
2019-05-08 12:08:00,5
2019-05-08 12:09:00,6
2019-05-08 12:10:00,4
2019-05-08 12:11:00,5
2019-05-08 12:12:00,6
2019-05-08 12:13:00,5
2019-05-08 12:14:00,4
2019-05-08 12:15:00,4
2019-05-08 12:16:00,4
2019-05-08 12:17:00,4
2019-05-08 12:18:00,5
2019-05-08 12:19:00,5
2019-05-08 12:20:00,5
2019-05-08 12:21:00,5
2019-05-08 12:22:00,4
2019-05-08 12:23:00,5
2019-05-08 12:24:00,5
2019-05-08 12:25:00,4
2019-05-08 12:26:00,6
2019-05-08 12:27:00,4
2019-05-08 12:28:00,4
2019-05-08 12:29:00,4
2019-05-08 12:30:00,4
2019-05-08 12:31:00,5
2019-05-08 12:32:00,4
2019-05-08 12:33:00,6
2019-05-08 12:34:00,5
2019-05-08 12:35:00,6
2019-05-08 12:36:00,5
2019-05-08 12:37:00,4
2019-05-08 12:38:00,5
2019-05-08 12:39:00,6
2019-05-08 12:40:00,5
2019-05-08 12:41:00,5
2019-05-08 12:42:00,4
2019-05-08 12:43:00,5
2019-05-08 12:44:00,6
2019-05-08 12:45:00,5
2019-05-08 12:46:00,6
2019-05-08 12:47:00,5
2019-05-08 12:48:00,5
2019-05-08 12:49:00,5
2019-05-08 12:50:00,5
2019-05-08 12:51:00,6
2019-05-08 12:52:00,4
2019-05-08 12:53:00,5
2019-05-08 12:54:00,5
2019-05-08 12:55:00,4
2019-05-08 12:56:00,6
2019-05-08 12:57:00,5
2019-05-08 12:58:00,5
2019-05-08 12:59:00,5
2019-05-08 13:00:00,6
2019-05-08 13:01:00,5
2019-05-08 13:02:00,5
2019-05-08 13:03:00,5
2019-05-08 13:04:00,5
2019-05-08 13:05:00,5
2019-05-08 13:06:00,5
2019-05-08 13:07:00,5
2019-05-08 13:08:00,5
2019-05-08 13:09:00,5
2019-05-08 13:10:00,5
2019-05-08 13:11:00,5
2019-05-08 13:12:00,5
2019-05-08 13:13:00,4
2019-05-08 13:14:00,6
2019-05-08 13:15:00,5
2019-05-08 13:16:00,5
2019-05-08 13:17:00,5
2019-05-08 13:18:00,5
2019-05-08 13:19:00,5
2019-05-08 13:20:00,5
2019-05-08 13:21:00,6
2019-05-08 13:22:00,5
2019-05-08 13:23:00,5
2019-05-08 13:24:00,5
2019-05-08 13:25:00,5
2019-05-08 13:26:00,6
2019-05-08 13:27:00,5
2019-05-08 13:28:00,5
2019-05-08 13:29:00,5
2019-05-08 13:30:00,3
2019-05-08 13:31:00,6
2019-05-08 13:32:00,5
2019-05-08 13:33:00,4
2019-05-08 13:34:00,5
2019-05-08 13:35:00,5
2019-05-08 13:36:00,5
2019-05-08 13:37:00,6
2019-05-08 13:38:00,4
2019-05-08 13:39:00,5
2019-05-08 13:40:00,5
2019-05-08 13:41:00,5
2019-05-08 13:42:00,5
2019-05-08 13:43:00,5
2019-05-08 13:44:00,5
2019-05-08 13:45:00,6
2019-05-08 13:46:00,5
2019-05-08 13:47:00,5
2019-05-08 13:48:00,6
2019-05-08 13:49:00,5
2019-05-08 13:50:00,5
2019-05-08 13:51:00,5
2019-05-08 13:52:00,6
2019-05-08 13:53:00,6
2019-05-08 13:54:00,5
2019-05-08 13:55:00,5
2019-05-08 13:56:00,5
2019-05-08 13:57:00,5
2019-05-08 13:58:00,5
2019-05-08 13:59:00,6
2019-05-08 14:00:00,6
2019-05-08 14:01:00,5
2019-05-08 14:02:00,4
2019-05-08 14:03:00,5
