2,"SELECT TOP # g.ra, g.dec, g.raErr, g.decErr, g.u, g.g, g.r, g.i, g.z, z.z as redshift, z.photoErrorClass, z.nnCount, z.zErr, g.objid FROM Galaxy AS g JOIN Photoz AS z ON z.objid = g.objid ORDER BY g.u WHERE g.ra > #and g.ra < # and g.dec > # and g.dec < # and z.z > # and z.z < #"
2019-12-29 12:34:00,1
2019-12-29 12:35:00,1
