3,"select i.Z_WARNING, i.Z, l.OIII_#_FLUX, l.OIII_#_FLUX_ERR into data from galSpecline as l join SpecObjALL as s on l.specObjID = s.specObjID join galSpecinfo as i on l.specObjID = i.specObjID where s.scienceprimary = #"
2019-11-29 00:38:00,1
2019-11-29 00:39:00,2
