203,"SELECT TOP # # + cast (p.objId as varchar (#) ) +# + cast (p.objId as varchar (#) ) + # as objID, p.run, p.rerun, p.camcol, p.field, p.obj, p.type, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z FROM fGetObjFromRect (#, #, #, #) n, PhotoPrimary p WHERE n.objID = p.objID AND p.u between # AND # AND p.g between # AND #"
2019-01-01 21:15:00,1
2019-01-04 21:36:00,1
2019-01-08 03:34:00,1
2019-01-08 05:01:00,1
2019-01-10 03:00:00,1
2019-01-13 10:36:00,1
2019-01-15 18:31:00,1
2019-01-17 06:38:00,1
2019-01-23 20:18:00,1
2019-01-27 08:44:00,1
2019-01-31 04:20:00,1
2019-02-05 01:21:00,1
2019-02-08 02:37:00,1
2019-02-08 16:36:00,1
2019-02-10 06:02:00,1
2019-02-13 18:14:00,1
2019-02-17 22:15:00,1
2019-02-21 01:22:00,3
2019-02-23 05:44:00,1
2019-02-23 15:33:00,1
2019-02-28 19:34:00,1
2019-03-01 19:52:00,1
2019-03-03 13:14:00,1
2019-03-05 03:12:00,1
2019-03-09 02:01:00,1
2019-03-10 04:28:00,1
2019-03-11 17:32:00,1
2019-03-17 01:55:00,1
2019-03-26 09:30:00,1
2019-03-27 02:19:00,1
2019-04-01 18:30:00,1
2019-04-03 13:27:00,1
2019-04-04 05:21:00,1
2019-04-04 21:51:00,1
2019-04-05 10:44:00,1
2019-04-09 09:27:00,1
2019-04-09 21:24:00,1
2019-04-11 07:44:00,1
2019-04-13 14:26:00,1
2019-04-18 22:00:00,1
2019-04-23 00:40:00,1
2019-04-23 12:00:00,1
2019-04-24 08:42:00,1
2019-04-27 09:31:00,1
2019-04-27 11:12:00,1
2019-04-28 02:30:00,1
2019-04-28 19:16:00,1
2019-04-29 14:25:00,1
2019-05-02 23:57:00,1
2019-05-03 14:51:00,1
2019-05-07 09:27:00,1
2019-05-13 09:35:00,1
2019-05-13 12:21:00,1
2019-05-16 05:51:00,1
2019-05-24 01:03:00,1
2019-05-24 09:00:00,1
2019-05-24 09:11:00,1
2019-05-25 00:16:00,1
2019-05-25 00:49:00,1
2019-05-29 16:56:00,1
2019-05-30 05:54:00,1
2019-06-02 22:19:00,1
2019-06-05 21:52:00,1
2019-06-05 23:19:00,1
2019-06-06 12:01:00,1
2019-06-11 01:07:00,1
2019-06-13 17:41:00,1
2019-06-15 00:50:00,1
2019-06-19 18:45:00,1
2019-06-21 07:09:00,1
2019-06-22 14:33:00,1
2019-06-25 07:14:00,1
2019-06-26 05:32:00,1
2019-06-27 17:06:00,1
2019-06-28 18:25:00,1
2019-06-29 15:31:00,1
2019-06-30 18:56:00,1
2019-07-02 08:19:00,1
2019-07-04 09:01:00,1
2019-07-04 13:51:00,1
2019-07-07 03:09:00,1
2019-07-07 13:36:00,1
2019-07-08 14:14:00,1
2019-07-11 02:51:00,1
2019-07-17 22:18:00,1
2019-07-18 03:46:00,1
2019-07-19 11:13:00,1
2019-07-19 15:54:00,1
2019-07-20 17:46:00,1
2019-07-20 18:58:00,1
2019-07-21 15:56:00,1
2019-07-22 05:40:00,1
2019-07-23 04:34:00,1
2019-07-23 16:14:00,1
2019-07-25 23:13:00,1
2019-07-27 10:21:00,1
2019-07-28 02:40:00,1
2019-07-28 05:27:00,1
2019-07-30 18:54:00,1
2019-08-05 07:35:00,1
2019-08-05 13:27:00,1
2019-08-07 20:46:00,1
2019-08-11 22:00:00,1
2019-08-12 09:37:00,1
2019-08-12 11:41:00,1
2019-08-13 00:23:00,1
2019-08-16 13:59:00,1
2019-08-16 19:55:00,1
2019-08-17 00:07:00,1
2019-08-19 22:15:00,1
2019-08-22 10:01:00,1
2019-08-23 01:49:00,1
2019-08-25 05:10:00,1
2019-08-25 08:31:00,1
2019-09-01 00:48:00,1
2019-09-01 10:42:00,1
2019-09-01 18:26:00,1
2019-09-05 09:50:00,1
2019-09-06 15:06:00,1
2019-09-06 22:28:00,1
2019-09-09 04:56:00,1
2019-09-11 07:32:00,1
2019-09-13 04:19:00,1
2019-09-13 20:33:00,1
2019-09-15 00:07:00,1
2019-09-15 19:25:00,1
2019-09-15 21:18:00,1
2019-09-17 21:47:00,1
2019-09-19 01:28:00,1
2019-09-19 19:07:00,1
2019-09-19 20:13:00,1
2019-09-20 11:58:00,1
2019-09-21 18:06:00,1
