2,"SELECT objID, ra, dec, u, g, r, I, z from PhotoObj WHERE cModelMag_g> # and cModelMag_g< # and psfMag_g< # and ModelMagErr_g< # and cModelMagErr_r< # and cModelMag_u - cModelMag_g > # and psfMag_u -psfMag_g > # and cModelMag_g - cModelMag_r < # and psfMag_r - psfMag_g > # and cModelMag_r - cModelMag_i < # and psfMag_r - psfMag_i < # and (cModelMag_r - cModelMag_g > # or cModelMag_i - cModelMag_g > #) and (psfMag_r - psfMag_g > # or psfMag_i - psfMag_g > #) and cModelMag_g - cModelMag_i < # and petroR9#_r< # and petroR9#_r> # and petrorad_g< # and (b> # or b< #) and prim.z > # and prim.z < # and calibStatus_u < =# and calibStatus_g < =# and calibStatus_r < =# and calibStatus_i < =# and clean = # and (flags & #) = #"
2019-02-14 07:14:00,1
2019-02-14 07:15:00,1
