2,"SELECT TOP # s.fiberID FROM ..SpecObj as s JOIN dbo.fGetNearbySpecObjEq (#, #, #) AS b ON b.SpecobjID = S.SpecobjID WHERE s.zWarning = #"
2019-03-13 09:08:00,1
2019-12-29 21:55:00,1
