2,"SELECT TOP # p.objId, p.ra, p.dec, petror9#_r, p.u, p.g, p.r, p.i, p.z, s.z as z_spec, s.zErr as z_err FROM galaxy AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND p.g BETWEEN # AND # AND p.petror9#_r > #"
2019-02-07 17:18:00,1
2019-02-20 17:27:00,1
