32,"SELECT p.ra, p.dec, p.psfmag_i, f.mjd_i, n.distance*# FROM fGetNearbyObjEq (#, #, #) n, PhotoPrimary p, Field f WHERE n.objID = p.objID and f.fieldID = p.fieldID and p.psfmag_i < #"
2019-11-07 17:52:00,1
2019-11-07 17:55:00,1
2019-11-07 17:56:00,1
2019-11-07 17:57:00,1
2019-11-07 17:58:00,1
2019-11-07 18:00:00,1
2019-11-07 18:01:00,1
2019-11-07 18:02:00,1
2019-11-07 18:04:00,1
2019-11-07 18:07:00,1
2019-11-07 18:08:00,2
2019-11-07 18:10:00,2
2019-11-07 18:11:00,2
2019-11-07 18:12:00,4
2019-11-08 14:20:00,1
2019-11-08 14:23:00,1
2019-11-08 14:24:00,1
2019-11-08 14:25:00,1
2019-11-08 14:26:00,1
2019-11-08 14:31:00,2
2019-11-30 16:35:00,1
2019-12-02 20:05:00,1
2019-12-02 20:06:00,1
2019-12-02 20:07:00,1
2019-12-02 20:11:00,1
