32,"select p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z from photoobj p, dbo.fgetNearByObjEq (#, #, #) n where p.objid = n.objid"
2019-01-12 01:44:00,1
2019-01-12 01:47:00,1
2019-02-08 12:19:00,1
2019-02-08 12:24:00,1
2019-02-08 12:25:00,1
2019-04-02 18:11:00,1
2019-04-10 09:45:00,2
2019-04-10 09:47:00,1
2019-06-23 18:32:00,1
2019-06-23 18:34:00,1
2019-06-25 01:46:00,1
2019-06-25 17:51:00,1
2019-06-25 18:02:00,1
2019-06-25 18:18:00,1
2019-06-25 18:28:00,1
2019-06-28 10:56:00,1
2019-09-11 18:50:00,1
2019-10-25 20:25:00,1
2019-11-19 22:39:00,1
2019-11-19 22:53:00,1
2019-11-25 20:53:00,1
2019-11-25 21:23:00,1
2019-12-08 07:44:00,2
2019-12-08 07:48:00,1
2019-12-08 09:11:00,1
2019-12-08 09:12:00,1
2019-12-08 09:16:00,1
2019-12-08 09:25:00,1
2019-12-08 09:26:00,2
