2,"select p.objid, p.ra, p.dec, p.b, p.l, p.u, p.g, p.r, p.i, p.z, p.u-p.g, p.g-p.r, p.r-p.i, p.i-p.z, s.z as redshift, s.specobjid from photoobj p, specobj s where p.objid = s.bestobjid and (s.class = #) and (p.htmid*# & # < (# * #) )"
2019-10-20 06:13:00,1
2019-10-20 06:42:00,1
