105997,select * from sqllogall2#_#_#h_to_#_#h where mm = # and dd = # and hh = #
2019-10-18 12:03:00,27
2019-10-18 12:04:00,28
2019-10-18 12:05:00,29
2019-10-18 12:06:00,21
2019-10-18 12:07:00,2
2019-10-18 12:10:00,5
2019-10-18 12:11:00,30
2019-10-18 12:12:00,14
2019-10-18 12:13:00,18
2019-10-18 12:14:00,17
2019-10-18 12:15:00,17
2019-10-18 12:16:00,19
2019-10-18 12:17:00,19
2019-10-18 12:18:00,18
2019-10-18 12:19:00,21
2019-10-18 12:20:00,26
2019-10-18 12:21:00,27
2019-10-18 12:22:00,25
2019-10-18 12:23:00,23
2019-10-18 12:24:00,22
2019-10-18 12:25:00,24
2019-10-18 12:26:00,22
2019-10-18 12:27:00,23
2019-10-18 12:28:00,23
2019-10-18 12:29:00,21
2019-10-18 12:30:00,22
2019-10-18 12:31:00,21
2019-10-18 12:32:00,23
2019-10-18 12:33:00,21
2019-10-18 12:34:00,21
2019-10-18 12:35:00,21
2019-10-18 12:36:00,22
2019-10-18 12:37:00,23
2019-10-18 12:38:00,20
2019-10-18 12:39:00,20
2019-10-18 12:40:00,21
2019-10-18 12:41:00,20
2019-10-18 12:42:00,20
2019-10-18 12:43:00,19
2019-10-18 12:44:00,12
2019-10-18 13:47:00,33
2019-10-18 13:48:00,41
2019-10-18 13:49:00,39
2019-10-18 13:50:00,38
2019-10-18 13:51:00,37
2019-10-18 13:52:00,37
2019-10-18 13:53:00,37
2019-10-18 13:54:00,35
2019-10-18 13:55:00,35
2019-10-18 13:56:00,34
2019-10-18 13:57:00,35
2019-10-18 13:58:00,33
2019-10-18 13:59:00,32
2019-10-18 14:00:00,28
2019-10-18 14:01:00,31
2019-10-18 14:02:00,32
2019-10-18 14:03:00,25
2019-10-18 14:04:00,21
2019-10-18 14:05:00,23
2019-10-18 14:06:00,17
2019-10-18 14:07:00,11
2019-10-18 14:08:00,16
2019-10-18 14:09:00,18
2019-10-18 14:10:00,20
2019-10-18 14:11:00,21
2019-10-18 14:12:00,15
2019-10-18 14:15:00,17
2019-10-18 14:16:00,26
2019-10-18 14:17:00,23
2019-10-18 14:18:00,29
2019-10-18 14:19:00,30
2019-10-18 14:20:00,38
2019-10-18 14:21:00,38
2019-10-18 14:22:00,36
2019-10-18 14:23:00,33
2019-10-18 14:24:00,34
2019-10-18 14:25:00,34
2019-10-18 14:26:00,31
2019-10-18 14:27:00,30
2019-10-18 14:28:00,30
2019-10-18 14:29:00,30
2019-10-18 14:30:00,29
2019-10-18 14:31:00,28
2019-10-18 14:32:00,28
2019-10-18 14:33:00,27
2019-10-18 14:34:00,26
2019-10-18 14:35:00,26
2019-10-18 14:36:00,26
2019-10-18 14:37:00,23
2019-10-18 14:38:00,23
2019-10-18 14:39:00,23
2019-10-18 14:40:00,2
2019-10-18 14:52:00,22
2019-10-18 14:53:00,37
2019-10-18 14:54:00,36
2019-10-18 14:55:00,37
2019-10-18 14:56:00,34
2019-10-18 14:57:00,33
2019-10-18 14:58:00,30
2019-10-18 14:59:00,29
2019-10-18 15:00:00,27
2019-10-18 15:01:00,28
2019-10-18 15:02:00,27
2019-10-18 15:03:00,26
2019-10-18 15:04:00,27
2019-10-18 15:05:00,27
2019-10-18 15:06:00,26
2019-10-18 15:07:00,25
2019-10-18 15:08:00,25
2019-10-18 15:09:00,24
2019-10-18 15:10:00,25
2019-10-18 15:11:00,23
2019-10-18 15:12:00,23
2019-10-18 15:13:00,23
2019-10-18 15:14:00,23
2019-10-18 15:15:00,22
2019-10-18 15:16:00,23
2019-10-18 15:17:00,22
2019-10-18 15:18:00,21
2019-10-18 15:19:00,19
2019-10-18 16:02:00,13
2019-10-18 16:03:00,24
2019-10-18 16:04:00,15
2019-10-18 16:22:00,22
2019-10-18 16:23:00,26
2019-10-18 16:27:00,20
2019-10-18 16:28:00,17
2019-10-18 16:29:00,22
2019-10-18 16:30:00,17
2019-10-18 16:31:00,18
2019-10-18 16:32:00,17
2019-10-18 16:33:00,16
2019-10-18 16:34:00,16
2019-10-18 16:35:00,16
2019-10-18 16:36:00,15
2019-10-18 16:37:00,12
2019-10-18 16:38:00,12
2019-10-18 16:39:00,13
2019-10-18 16:40:00,13
2019-10-18 16:41:00,13
2019-10-18 16:42:00,14
2019-10-18 16:43:00,14
2019-10-18 16:44:00,17
2019-10-18 16:45:00,15
2019-10-18 16:46:00,15
2019-10-18 16:47:00,16
2019-10-18 16:48:00,15
2019-10-18 16:49:00,13
2019-10-18 16:50:00,13
2019-10-18 16:51:00,11
2019-10-18 16:52:00,18
2019-10-18 16:53:00,16
2019-10-18 16:54:00,17
2019-10-18 16:55:00,17
2019-10-18 16:56:00,18
2019-10-18 16:57:00,17
2019-10-18 16:58:00,17
2019-10-18 16:59:00,17
2019-10-18 17:00:00,15
2019-10-18 17:01:00,17
2019-10-18 17:02:00,15
2019-10-18 17:03:00,16
2019-10-18 17:04:00,16
2019-10-18 17:05:00,17
2019-10-18 17:06:00,16
2019-10-18 17:07:00,16
2019-10-18 17:08:00,17
2019-10-18 17:09:00,18
2019-10-18 17:10:00,16
2019-10-18 17:22:00,9
2019-10-18 17:23:00,31
2019-10-18 17:24:00,21
2019-10-18 17:25:00,24
2019-10-18 17:26:00,18
2019-10-18 17:27:00,20
2019-10-18 17:28:00,20
2019-10-18 17:29:00,18
2019-10-18 17:30:00,18
2019-10-18 17:31:00,16
2019-10-18 17:32:00,14
2019-10-18 17:33:00,16
2019-10-18 17:34:00,13
2019-10-18 17:35:00,11
2019-10-18 17:36:00,11
2019-10-18 17:37:00,12
2019-10-18 17:38:00,10
2019-10-18 17:39:00,11
2019-10-18 17:40:00,10
2019-10-18 17:41:00,10
2019-10-18 17:42:00,10
2019-10-18 17:43:00,9
2019-10-18 17:44:00,10
2019-10-18 17:45:00,9
2019-10-18 17:46:00,10
2019-10-18 17:47:00,9
2019-10-18 17:48:00,10
2019-10-18 17:49:00,10
2019-10-18 17:50:00,9
2019-10-18 17:51:00,10
2019-10-18 17:52:00,10
2019-10-18 17:53:00,10
2019-10-18 17:54:00,9
2019-10-18 17:55:00,10
2019-10-18 17:56:00,10
2019-10-18 17:57:00,10
2019-10-18 17:58:00,10
2019-10-18 17:59:00,9
2019-10-18 18:00:00,9
2019-10-18 18:01:00,9
2019-10-18 18:02:00,11
2019-10-18 18:03:00,9
2019-10-18 18:04:00,11
2019-10-18 18:05:00,9
2019-10-18 18:06:00,9
2019-10-18 18:07:00,10
2019-10-18 18:08:00,10
2019-10-18 18:09:00,10
2019-10-18 18:10:00,10
2019-10-18 18:11:00,9
2019-10-18 18:12:00,10
2019-10-18 18:13:00,10
2019-10-18 18:14:00,9
2019-10-18 18:15:00,10
2019-10-18 18:16:00,10
2019-10-18 18:17:00,11
2019-10-18 18:18:00,9
2019-10-18 18:25:00,32
2019-10-18 18:26:00,38
2019-10-18 18:27:00,38
2019-10-18 18:28:00,36
2019-10-18 18:29:00,36
2019-10-18 18:30:00,33
2019-10-18 18:31:00,29
2019-10-18 18:32:00,35
2019-10-18 18:33:00,34
2019-10-18 18:34:00,30
2019-10-18 18:35:00,34
2019-10-18 18:36:00,34
2019-10-18 18:37:00,31
2019-10-18 18:38:00,33
2019-10-18 18:39:00,32
2019-10-18 18:40:00,30
2019-10-18 18:41:00,30
2019-10-18 18:42:00,30
2019-10-18 18:43:00,31
2019-10-18 18:44:00,30
2019-10-18 18:45:00,29
2019-10-18 18:46:00,29
2019-10-18 18:47:00,29
2019-10-18 18:48:00,1
2019-10-18 18:51:00,19
2019-10-18 18:52:00,40
2019-10-18 18:53:00,40
2019-10-18 18:54:00,38
2019-10-18 18:55:00,37
2019-10-18 18:56:00,36
2019-10-18 18:57:00,36
2019-10-18 18:58:00,36
2019-10-18 18:59:00,31
2019-10-18 19:00:00,24
2019-10-18 19:01:00,29
2019-10-18 19:02:00,28
2019-10-18 19:03:00,29
2019-10-18 19:04:00,27
2019-10-18 19:05:00,27
2019-10-18 19:06:00,27
2019-10-18 19:07:00,26
2019-10-18 19:08:00,27
2019-10-18 19:09:00,26
2019-10-18 19:10:00,26
2019-10-18 19:11:00,26
2019-10-18 19:12:00,24
2019-10-18 19:13:00,25
2019-10-18 19:14:00,25
2019-10-18 19:15:00,11
2019-10-18 19:17:00,20
2019-10-18 19:18:00,39
2019-10-18 19:19:00,37
2019-10-18 19:20:00,37
2019-10-18 19:21:00,37
2019-10-18 19:22:00,35
2019-10-18 19:23:00,23
2019-10-18 19:24:00,29
2019-10-18 19:25:00,29
2019-10-18 19:26:00,25
2019-10-18 19:27:00,21
2019-10-18 19:28:00,24
2019-10-18 19:29:00,23
2019-10-18 19:30:00,23
2019-10-18 19:31:00,23
2019-10-18 19:32:00,23
2019-10-18 19:33:00,23
2019-10-18 19:34:00,24
2019-10-18 19:35:00,22
2019-10-18 19:36:00,22
2019-10-18 19:37:00,21
2019-10-18 19:38:00,22
2019-10-18 19:39:00,22
2019-10-18 19:40:00,21
2019-10-18 19:41:00,21
2019-10-18 19:42:00,21
2019-10-18 19:43:00,20
2019-10-18 19:44:00,22
2019-10-18 19:45:00,21
2019-10-18 19:46:00,14
2019-10-18 20:06:00,23
2019-10-18 20:07:00,21
2019-10-20 14:07:00,11
2019-10-20 14:08:00,42
2019-10-20 14:09:00,43
2019-10-20 14:10:00,43
2019-10-20 14:11:00,41
2019-10-20 14:12:00,42
2019-10-20 14:13:00,41
2019-10-20 14:14:00,40
2019-10-20 14:15:00,40
2019-10-20 14:16:00,37
2019-10-20 14:17:00,40
2019-10-20 14:18:00,38
2019-10-20 14:19:00,37
2019-10-20 14:20:00,35
2019-10-20 14:21:00,36
2019-10-20 14:22:00,34
2019-10-20 14:23:00,35
2019-10-20 14:24:00,35
2019-10-20 14:25:00,36
2019-10-20 14:26:00,14
2019-10-20 14:29:00,30
2019-10-20 14:30:00,42
2019-10-20 14:31:00,40
2019-10-20 14:32:00,40
2019-10-20 14:33:00,39
2019-10-20 14:34:00,38
2019-10-20 14:35:00,38
2019-10-20 14:36:00,38
2019-10-20 14:37:00,30
2019-10-20 14:38:00,23
2019-10-20 14:39:00,22
2019-10-20 14:40:00,21
2019-10-20 14:41:00,19
2019-10-20 14:42:00,20
2019-10-20 14:43:00,20
2019-10-20 14:44:00,20
2019-10-20 14:45:00,21
2019-10-20 14:46:00,20
2019-10-20 14:47:00,21
2019-10-20 14:48:00,20
2019-10-20 14:49:00,20
2019-10-20 14:50:00,20
2019-10-20 14:51:00,21
2019-10-20 14:52:00,19
2019-10-20 14:53:00,20
2019-10-20 14:54:00,20
2019-10-20 14:55:00,18
2019-10-20 14:56:00,19
2019-10-20 14:57:00,19
2019-10-20 14:58:00,6
2019-10-20 15:20:00,19
2019-10-20 15:21:00,39
2019-10-20 15:22:00,39
2019-10-20 15:23:00,39
2019-10-20 15:24:00,39
2019-10-20 15:25:00,38
2019-10-20 15:26:00,37
2019-10-20 15:27:00,38
2019-10-20 15:28:00,36
2019-10-20 15:29:00,36
2019-10-20 15:30:00,35
2019-10-20 15:31:00,34
2019-10-20 15:32:00,34
2019-10-20 15:33:00,35
2019-10-20 15:34:00,33
2019-10-20 15:35:00,28
2019-10-20 15:36:00,27
2019-10-20 15:37:00,25
2019-10-20 15:38:00,23
2019-10-20 15:39:00,24
2019-10-20 15:40:00,25
2019-10-20 15:41:00,24
2019-10-20 15:42:00,13
2019-10-21 11:34:00,25
2019-10-21 11:35:00,38
2019-10-21 11:36:00,35
2019-10-21 11:37:00,35
2019-10-21 11:38:00,32
2019-10-21 11:39:00,31
2019-10-21 11:40:00,32
2019-10-21 11:41:00,30
2019-10-21 11:42:00,30
2019-10-21 11:43:00,29
2019-10-21 11:44:00,31
2019-10-21 11:45:00,29
2019-10-21 11:46:00,25
2019-10-21 11:47:00,26
2019-10-21 11:48:00,27
2019-10-21 11:49:00,27
2019-10-21 11:50:00,28
2019-10-21 11:51:00,27
2019-10-21 11:52:00,26
2019-10-21 11:53:00,27
2019-10-21 11:54:00,27
2019-10-21 11:55:00,26
2019-10-21 11:56:00,27
2019-10-21 11:57:00,28
2019-10-21 11:58:00,26
2019-10-21 11:59:00,20
2019-10-21 12:03:00,13
2019-10-21 12:04:00,36
2019-10-21 12:05:00,32
2019-10-21 12:06:00,33
2019-10-21 12:07:00,33
2019-10-21 12:08:00,31
2019-10-21 12:09:00,33
2019-10-21 12:10:00,31
2019-10-21 12:11:00,31
2019-10-21 12:12:00,30
2019-10-21 12:13:00,28
2019-10-21 12:14:00,25
2019-10-21 12:15:00,24
2019-10-21 12:16:00,26
2019-10-21 12:17:00,24
2019-10-21 12:18:00,25
2019-10-21 12:19:00,22
2019-10-21 12:20:00,21
2019-10-21 12:21:00,23
2019-10-21 12:22:00,21
2019-10-21 12:23:00,23
2019-10-21 12:24:00,22
2019-10-21 12:25:00,23
2019-10-21 12:26:00,23
2019-10-21 12:27:00,26
2019-10-21 12:28:00,25
2019-10-21 12:29:00,27
2019-10-21 12:30:00,25
2019-10-21 12:31:00,8
2019-10-21 12:36:00,24
2019-10-21 12:37:00,30
2019-10-21 12:38:00,34
2019-10-21 12:39:00,32
2019-10-21 12:40:00,29
2019-10-21 12:41:00,28
2019-10-21 12:42:00,29
2019-10-21 12:43:00,31
2019-10-21 12:44:00,31
2019-10-21 12:45:00,30
2019-10-21 12:46:00,30
2019-10-21 12:47:00,29
2019-10-21 12:48:00,30
2019-10-21 12:49:00,29
2019-10-21 12:50:00,29
2019-10-21 12:51:00,29
2019-10-21 12:52:00,29
2019-10-21 12:53:00,22
2019-10-21 12:54:00,29
2019-10-21 12:55:00,28
2019-10-21 12:56:00,29
2019-10-21 12:57:00,29
2019-10-21 12:58:00,26
2019-10-21 12:59:00,26
2019-10-21 13:00:00,22
2019-10-21 13:01:00,25
2019-10-21 13:02:00,5
2019-10-21 13:24:00,20
2019-10-21 13:25:00,37
2019-10-21 13:26:00,29
2019-10-21 13:27:00,37
2019-10-21 13:28:00,37
2019-10-21 13:29:00,36
2019-10-21 13:30:00,36
2019-10-21 13:31:00,35
2019-10-21 13:32:00,35
2019-10-21 13:33:00,35
2019-10-21 13:34:00,34
2019-10-21 13:35:00,34
2019-10-21 13:36:00,33
2019-10-21 13:37:00,32
2019-10-21 13:38:00,32
2019-10-21 13:39:00,33
2019-10-21 13:40:00,33
2019-10-21 13:41:00,31
2019-10-21 13:42:00,31
2019-10-21 13:43:00,28
2019-10-21 13:44:00,14
2019-10-21 14:29:00,4
2019-10-21 14:30:00,38
2019-10-21 14:31:00,38
2019-10-21 14:32:00,36
2019-10-21 14:33:00,37
2019-10-21 14:34:00,37
2019-10-21 14:35:00,36
2019-10-21 14:36:00,36
2019-10-21 14:37:00,35
2019-10-21 14:38:00,35
2019-10-21 14:39:00,34
2019-10-21 14:40:00,33
2019-10-21 14:41:00,34
2019-10-21 14:42:00,32
2019-10-21 14:43:00,34
2019-10-21 14:44:00,33
2019-10-21 14:45:00,32
2019-10-21 14:46:00,31
2019-10-21 14:47:00,31
2019-10-21 14:48:00,31
2019-10-21 14:49:00,28
2019-10-21 14:50:00,29
2019-10-21 14:51:00,28
2019-10-21 14:52:00,2
2019-10-21 14:54:00,17
2019-10-21 14:55:00,40
2019-10-21 14:56:00,38
2019-10-21 14:57:00,39
2019-10-21 14:58:00,39
2019-10-21 14:59:00,38
2019-10-21 15:00:00,30
2019-10-21 15:01:00,33
2019-10-21 15:02:00,32
2019-10-21 15:03:00,33
2019-10-21 15:04:00,33
2019-10-21 15:05:00,30
2019-10-21 15:06:00,32
2019-10-21 15:07:00,31
2019-10-21 15:08:00,31
2019-10-21 15:09:00,31
2019-10-21 15:10:00,34
2019-10-21 15:11:00,31
2019-10-21 15:12:00,31
2019-10-21 15:13:00,31
2019-10-21 15:14:00,30
2019-10-21 15:15:00,29
2019-10-21 15:16:00,7
2019-10-21 15:32:00,8
2019-10-21 15:33:00,34
2019-10-21 15:34:00,29
2019-10-21 15:35:00,23
2019-10-21 15:36:00,25
2019-10-21 15:37:00,21
2019-10-21 15:38:00,22
2019-10-21 15:39:00,22
2019-10-21 15:40:00,21
2019-10-21 15:41:00,20
2019-10-21 15:42:00,20
2019-10-21 15:43:00,20
2019-10-21 15:44:00,19
2019-10-21 15:45:00,18
2019-10-21 15:46:00,17
2019-10-21 15:47:00,17
2019-10-21 15:48:00,16
2019-10-21 15:49:00,16
2019-10-21 15:50:00,16
2019-10-21 15:51:00,16
2019-10-21 15:52:00,16
2019-10-21 15:53:00,17
2019-10-21 15:54:00,17
2019-10-21 15:55:00,17
2019-10-21 15:56:00,15
2019-10-21 15:57:00,16
2019-10-21 15:58:00,16
2019-10-21 15:59:00,16
2019-10-21 16:00:00,15
2019-10-21 16:01:00,16
2019-10-21 16:02:00,16
2019-10-21 16:03:00,15
2019-10-21 16:04:00,16
2019-10-21 16:05:00,15
2019-10-21 16:06:00,15
2019-10-21 16:07:00,13
2019-10-21 16:08:00,14
2019-10-21 16:09:00,15
2019-10-21 16:10:00,14
2019-10-21 16:11:00,14
2019-10-21 16:12:00,14
2019-10-21 16:13:00,15
2019-10-21 16:14:00,7
2019-10-21 16:47:00,15
2019-10-21 16:48:00,36
2019-10-21 16:49:00,37
2019-10-21 16:50:00,35
2019-10-21 16:51:00,35
2019-10-21 16:52:00,35
2019-10-21 16:53:00,35
2019-10-21 16:54:00,35
2019-10-21 16:55:00,35
2019-10-21 16:56:00,35
2019-10-21 16:57:00,33
2019-10-21 16:58:00,34
2019-10-21 16:59:00,31
2019-10-21 17:00:00,28
2019-10-21 17:01:00,27
2019-10-21 17:02:00,30
2019-10-21 17:03:00,29
2019-10-21 17:04:00,30
2019-10-21 17:05:00,28
2019-10-21 17:06:00,28
2019-10-21 17:07:00,27
2019-10-21 17:08:00,25
2019-10-21 17:09:00,24
2019-10-21 17:10:00,13
2019-10-22 11:55:00,25
2019-10-22 11:56:00,26
2019-10-22 11:57:00,24
2019-10-22 11:58:00,22
2019-10-22 11:59:00,21
2019-10-22 12:00:00,17
2019-10-22 12:01:00,18
2019-10-22 12:02:00,19
2019-10-22 12:03:00,18
2019-10-22 12:04:00,17
2019-10-22 12:05:00,18
2019-10-22 12:06:00,11
2019-10-22 12:07:00,4
2019-10-22 12:08:00,3
2019-10-22 12:09:00,1
2019-10-22 12:11:00,1
2019-10-22 12:14:00,4
2019-10-22 12:15:00,1
2019-10-22 12:20:00,1
2019-10-22 12:21:00,2
2019-10-22 12:22:00,3
2019-10-22 12:24:00,1
2019-10-22 12:25:00,2
2019-10-22 12:27:00,1
2019-10-22 12:28:00,1
2019-10-22 12:29:00,3
2019-10-22 12:30:00,2
2019-10-22 12:31:00,3
2019-10-22 12:32:00,14
2019-10-22 12:33:00,15
2019-10-22 12:34:00,14
2019-10-22 12:35:00,15
2019-10-22 12:36:00,14
2019-10-22 12:37:00,14
2019-10-22 12:38:00,15
2019-10-22 12:39:00,15
2019-10-22 12:40:00,14
2019-10-22 12:41:00,15
2019-10-22 12:42:00,14
2019-10-22 12:43:00,15
2019-10-22 12:44:00,14
2019-10-22 12:45:00,14
2019-10-22 12:46:00,13
2019-10-22 12:47:00,13
2019-10-22 12:48:00,13
2019-10-22 12:49:00,13
2019-10-22 12:50:00,13
2019-10-22 12:51:00,12
2019-10-22 12:52:00,12
2019-10-22 12:53:00,6
2019-10-22 12:54:00,5
2019-10-22 12:55:00,10
2019-10-22 12:56:00,8
2019-10-22 12:57:00,5
2019-10-22 12:58:00,5
2019-10-22 12:59:00,3
2019-10-22 13:00:00,2
2019-10-22 13:01:00,2
2019-10-22 13:02:00,3
2019-10-22 13:05:00,1
2019-10-22 13:07:00,1
2019-10-22 13:09:00,1
2019-10-22 13:10:00,1
2019-10-22 13:11:00,2
2019-10-22 13:12:00,2
2019-10-22 13:13:00,7
2019-10-22 13:14:00,9
2019-10-22 13:15:00,11
2019-10-22 13:16:00,13
2019-10-22 13:17:00,12
2019-10-22 13:18:00,13
2019-10-22 13:19:00,11
2019-10-22 13:20:00,12
2019-10-22 13:21:00,12
2019-10-22 13:22:00,12
2019-10-22 13:23:00,11
2019-10-22 13:24:00,9
2019-10-22 13:25:00,9
2019-10-22 13:26:00,4
2019-10-22 13:27:00,1
2019-10-22 13:36:00,10
2019-10-22 13:37:00,10
2019-10-22 13:38:00,11
2019-10-22 13:39:00,10
2019-10-22 13:40:00,10
2019-10-22 13:41:00,10
2019-10-22 13:42:00,10
2019-10-22 13:43:00,10
2019-10-22 13:44:00,10
2019-10-22 13:45:00,11
2019-10-22 13:46:00,10
2019-10-22 13:47:00,11
2019-10-22 13:48:00,11
2019-10-22 13:49:00,11
2019-10-22 13:50:00,11
2019-10-22 13:51:00,11
2019-10-22 13:52:00,11
2019-10-22 13:53:00,9
2019-10-22 13:54:00,10
2019-10-22 13:55:00,11
2019-10-22 13:56:00,10
2019-10-22 13:57:00,9
2019-10-22 13:58:00,10
2019-10-22 13:59:00,11
2019-10-22 14:00:00,10
2019-10-22 14:01:00,10
2019-10-22 14:02:00,11
2019-10-22 14:03:00,10
2019-10-22 14:04:00,10
2019-10-22 14:05:00,11
2019-10-22 14:06:00,10
2019-10-22 14:07:00,10
2019-10-22 14:08:00,10
2019-10-22 14:09:00,9
2019-10-22 14:10:00,10
2019-10-22 14:11:00,9
2019-10-22 14:12:00,9
2019-10-22 14:13:00,10
2019-10-22 14:14:00,10
2019-10-22 14:15:00,9
