50,select fieldid from field where medianpsfcolor_z between # and # and q_u between .# and .#
2019-01-25 02:39:00,2
2019-01-25 02:44:00,1
2019-01-25 06:31:00,4
2019-01-25 06:32:00,2
2019-01-25 07:00:00,1
2019-01-25 07:01:00,1
2019-01-25 07:08:00,1
2019-01-25 07:16:00,2
2019-01-25 08:10:00,13
2019-01-25 10:14:00,2
2019-01-25 13:46:00,1
2019-01-25 13:47:00,1
2019-01-28 02:53:00,6
2019-01-28 16:02:00,1
2019-01-28 16:19:00,1
2019-01-28 16:25:00,1
2019-01-28 17:55:00,1
2019-01-28 17:56:00,2
2019-01-28 18:01:00,7
