9631,"SELECT TOP # P.ra, P.dec, P.psfMag_u, P.psfMagErr_u, P.petroMag_u, P.petroMagErr_u, P.modelMag_u, P.modelMagErr_u, P.expMag_u, P.expMagErr_u, P.psfMag_g, P.psfMagErr_g, P.petroMag_g, P.petroMagErr_g, P.modelMag_g, P.modelMagErr_g, P.expMag_g, P.expMagErr_g, P.psfMag_r, P.psfMagErr_r, P.petroMag_r, P.petroMagErr_r, P.modelMag_r, P.modelMagErr_r, P.expMag_r, P.expMagErr_r, P.psfMag_i, P.psfMagErr_i, P.petroMag_i, P.petroMagErr_i, P.modelMag_i, P.modelMagErr_i, P.expMag_i, P.expMagErr_i, P.psfMag_z, P.psfMagErr_z, P.petroMag_z, P.petroMagErr_z, P.modelMag_z, P.modelMagErr_z, P.expMag_z, P.expMagErr_z, P.expAB_r, P.expPhi_r, P.expRad_r FROM PhotoPrimary as P JOIN dbo.fGetNearbyObjEq (#, #, #) AS PN ON P.objID = PN.objID ORDER BY distance"
2019-05-31 18:44:00,3
2019-05-31 18:45:00,8
2019-05-31 18:46:00,15
2019-05-31 18:47:00,16
2019-05-31 18:48:00,16
2019-05-31 18:49:00,17
2019-05-31 18:50:00,16
2019-05-31 18:51:00,20
2019-05-31 18:52:00,19
2019-05-31 18:53:00,16
2019-05-31 18:54:00,17
2019-05-31 18:55:00,18
2019-05-31 18:56:00,18
2019-05-31 18:57:00,16
2019-05-31 18:58:00,17
2019-05-31 18:59:00,18
2019-05-31 19:00:00,19
2019-05-31 19:01:00,26
2019-05-31 19:02:00,19
2019-05-31 19:03:00,18
2019-05-31 19:04:00,20
2019-05-31 19:05:00,24
2019-05-31 19:06:00,25
2019-05-31 19:07:00,26
2019-05-31 19:08:00,29
2019-05-31 19:09:00,40
2019-05-31 19:10:00,80
2019-05-31 19:11:00,149
2019-05-31 19:12:00,124
2019-05-31 19:13:00,99
2019-05-31 19:14:00,145
2019-05-31 19:15:00,165
2019-05-31 19:16:00,160
2019-05-31 19:17:00,135
2019-05-31 19:18:00,161
2019-05-31 19:19:00,139
2019-05-31 19:20:00,119
2019-05-31 19:21:00,146
2019-05-31 19:22:00,150
2019-05-31 19:23:00,167
2019-05-31 19:24:00,109
2019-05-31 19:25:00,154
2019-05-31 19:26:00,160
2019-05-31 19:27:00,146
2019-05-31 19:28:00,117
2019-05-31 19:29:00,81
2019-05-31 19:30:00,131
2019-05-31 19:31:00,91
2019-05-31 19:32:00,88
2019-05-31 19:33:00,80
2019-05-31 19:34:00,84
2019-05-31 19:35:00,94
2019-05-31 19:36:00,112
2019-05-31 19:37:00,117
2019-05-31 19:38:00,98
2019-05-31 19:39:00,95
2019-05-31 19:40:00,79
2019-05-31 19:41:00,108
2019-05-31 19:42:00,80
2019-05-31 19:43:00,91
2019-05-31 19:44:00,92
2019-05-31 19:45:00,84
2019-05-31 19:46:00,89
2019-05-31 19:47:00,126
2019-05-31 19:48:00,77
2019-05-31 19:49:00,87
2019-05-31 19:50:00,90
2019-05-31 19:51:00,91
2019-05-31 19:52:00,80
2019-05-31 19:53:00,90
2019-05-31 19:54:00,69
2019-05-31 19:55:00,77
2019-05-31 19:56:00,96
2019-05-31 19:57:00,81
2019-05-31 19:58:00,84
2019-05-31 19:59:00,89
2019-05-31 20:00:00,79
2019-05-31 20:01:00,88
2019-05-31 20:02:00,91
2019-05-31 20:03:00,96
2019-05-31 20:04:00,89
2019-05-31 20:05:00,64
2019-05-31 20:06:00,72
2019-05-31 20:07:00,77
2019-05-31 20:08:00,91
2019-05-31 20:09:00,73
2019-05-31 20:10:00,91
2019-05-31 20:11:00,71
2019-05-31 20:12:00,67
2019-05-31 20:13:00,88
2019-05-31 20:14:00,78
2019-05-31 20:15:00,100
2019-05-31 20:16:00,81
2019-05-31 20:17:00,89
2019-05-31 20:18:00,92
2019-05-31 20:19:00,89
2019-05-31 20:20:00,92
2019-05-31 20:21:00,87
2019-05-31 20:22:00,103
2019-05-31 20:23:00,99
2019-05-31 20:24:00,87
2019-05-31 20:25:00,92
2019-05-31 20:26:00,117
2019-05-31 20:27:00,131
2019-05-31 20:28:00,161
2019-05-31 20:29:00,128
2019-05-31 20:30:00,168
2019-05-31 20:31:00,177
2019-05-31 20:32:00,182
2019-05-31 20:33:00,164
2019-05-31 20:34:00,168
2019-05-31 20:35:00,57
