4,"SELECT TOP # g, r, r, err_r, ra, dec, flags_r FROM Galaxy WHERE ra BETWEEN # and # AND dec BETWEEN # and # AND ( (flags_r & #) ! = #) AND ( (flags_r & #) = #) AND ( ((flags_r & #) = #) or (psfmagerr_r < = #) ) AND ( ((flags_r & #) = #) or (flags_r & #) = #)"
2019-10-16 17:46:00,1
2019-10-16 17:49:00,2
2019-10-16 17:53:00,1
