22,"SELECT TOP # # + cast (p.apstar_id as varchar (#) ) + # + cast (p.apstar_id as varchar (#) ) + # as apstar_id, p.apogee_id, p.ra, p.dec, p.glon, p.glat, p.vhelio_avg, p.vscatter, a.teff, a.logg, a.m_h FROM apogeeStar p JOIN fGetNearbyApogeeStarEq (#, #, #) n on p.apstar_id = n.apstar_id JOIN aspcapStar a on a.apstar_id = p.apstar_id JOIN apogeeObject as o ON a.apogee_id = o.apogee_id AND o.j between # AND # AND o.h between # AND # AND o.k between # AND #"
2019-01-09 02:25:00,1
2019-03-05 12:38:00,1
2019-06-01 12:10:00,2
2019-06-04 16:18:00,1
2019-07-19 10:07:00,1
2019-12-11 03:26:00,2
2019-12-12 12:35:00,2
2019-12-13 08:20:00,2
2019-12-19 08:16:00,1
2019-12-19 08:17:00,1
2019-12-19 08:21:00,1
2019-12-19 08:22:00,1
2019-12-19 08:32:00,1
2019-12-23 02:48:00,1
2019-12-23 02:49:00,2
2019-12-26 06:13:00,1
2019-12-26 08:11:00,1
