45,"SELECT TOP # G.objID, GN.distance FROM Galaxy as G JOIN dbo.fGetNearbyObjEq (#, #, #) AS GN ON G.objID = GN.objID ORDER BY distance"
2019-01-07 20:13:00,1
2019-01-09 17:46:00,1
2019-01-09 20:41:00,1
2019-01-14 21:40:00,3
2019-01-14 21:41:00,1
2019-01-21 19:33:00,1
2019-01-22 15:26:00,1
2019-01-22 15:40:00,1
2019-01-22 15:42:00,1
2019-01-22 15:43:00,1
2019-01-22 16:26:00,1
2019-01-22 22:02:00,1
2019-01-22 22:15:00,1
2019-02-04 13:50:00,1
2019-02-04 13:51:00,3
2019-04-14 17:05:00,1
2019-04-14 17:06:00,1
2019-04-14 17:07:00,2
2019-05-03 12:00:00,1
2019-06-09 03:10:00,1
2019-07-10 14:31:00,1
2019-07-10 14:32:00,1
2019-07-10 14:45:00,2
2019-07-19 09:04:00,2
2019-07-19 09:06:00,1
2019-07-19 09:07:00,1
2019-09-18 16:15:00,1
2019-10-08 04:03:00,1
2019-10-29 04:12:00,1
2019-10-29 04:13:00,1
2019-10-29 19:47:00,2
2019-10-29 19:48:00,1
2019-10-30 01:54:00,1
2019-10-30 02:14:00,1
2019-12-14 16:34:00,1
2019-12-14 16:59:00,2
