29,"select z, ra, dec, bestObjID from specObj where specClass = # AND z > # AND zConf > #"
2019-01-31 03:13:00,1
2019-02-03 20:12:00,1
2019-02-11 22:36:00,1
2019-02-25 15:54:00,2
2019-03-28 03:41:00,1
2019-03-29 23:58:00,1
2019-04-01 22:00:00,1
2019-04-01 22:01:00,1
2019-04-02 15:55:00,1
2019-04-04 00:06:00,1
2019-04-12 20:36:00,1
2019-05-02 17:29:00,1
2019-06-06 16:31:00,1
2019-06-10 15:28:00,1
2019-06-11 17:18:00,1
2019-06-13 21:43:00,1
2019-06-14 13:24:00,1
2019-06-19 15:14:00,1
2019-06-24 20:50:00,1
2019-06-24 21:20:00,1
2019-08-27 12:02:00,1
2019-08-29 19:09:00,1
2019-09-05 13:46:00,1
2019-09-12 22:30:00,1
2019-11-14 12:38:00,1
2019-12-04 15:05:00,1
2019-12-12 15:20:00,1
2019-12-13 15:09:00,1
