61,"select ra, dec, u, err_u, g, err_g, r, err_r, i, err_i, z, err_z from star where (ra between # and #) and (dec between # and #)"
2019-04-01 09:58:00,1
2019-04-01 10:26:00,6
2019-04-01 10:27:00,4
2019-04-01 10:28:00,1
2019-04-01 10:31:00,1
2019-04-01 11:15:00,8
2019-04-01 11:16:00,10
2019-04-01 11:17:00,10
2019-04-01 11:33:00,10
2019-04-01 11:37:00,10
