24,"SELECT DISTINCT p.objid, p.type, p.ra, p.dec, p.r, p.g FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-10-21 11:05:00,5
2019-10-21 11:06:00,18
2019-10-21 11:07:00,1
