21,"SELECT TOP # p.fiberMag_u, p.fiberMag_g, p.fiberMag_r, p.fiberMag_i, p.fiberMag_z, s.elodieTEff FROM PhotoObjAll AS p JOIN specObjAll s ON s.bestobjid = p.objid WHERE p.mode = # AND s.sciencePrimary = # AND p.clean = # AND s.class = #"
2019-06-27 19:48:00,1
2019-06-27 19:56:00,2
2019-06-27 19:57:00,1
2019-07-08 02:57:00,1
2019-07-08 04:05:00,1
2019-07-08 04:11:00,1
2019-07-08 04:17:00,1
2019-07-08 04:22:00,1
2019-07-08 04:42:00,1
2019-07-08 05:04:00,1
2019-07-08 05:06:00,1
2019-07-08 05:07:00,1
2019-07-08 15:03:00,1
2019-07-08 23:02:00,1
2019-07-09 00:50:00,1
2019-07-09 01:56:00,1
2019-07-09 02:20:00,1
2019-07-09 04:24:00,1
2019-07-09 04:29:00,1
2019-07-09 04:31:00,1
