64,"select yy, mm, dd, hh, mi, ss, logID, clientIP, requestor, server, dbname, access, elapsed, busy, rows, statement, error, errorMessage, isvisible into sqllogall2#_#_#_to_#_# from sqllogall where yy = # and mm between # and # and dd between # and # and hh between # and # and mi between # and #"
2019-10-24 13:46:00,1
2019-10-24 14:25:00,1
2019-10-24 14:27:00,1
2019-10-24 14:39:00,1
2019-10-24 14:58:00,1
2019-10-24 15:17:00,1
2019-10-24 15:50:00,1
2019-10-28 11:56:00,1
2019-10-28 14:31:00,1
2019-10-28 15:55:00,1
2019-10-28 16:03:00,1
2019-10-28 16:42:00,1
2019-10-28 17:42:00,1
2019-10-28 19:31:00,1
2019-10-29 06:25:00,1
2019-10-29 08:42:00,1
2019-10-29 10:24:00,1
2019-10-29 12:05:00,1
2019-10-29 14:46:00,1
2019-10-29 15:19:00,1
2019-10-29 16:46:00,1
2019-10-29 17:23:00,1
2019-10-29 17:45:00,1
2019-10-30 10:02:00,1
2019-10-30 10:10:00,1
2019-11-01 16:39:00,1
2019-11-02 13:46:00,1
2019-11-02 14:54:00,1
2019-11-10 10:54:00,1
2019-11-10 10:59:00,1
2019-11-11 16:10:00,1
2019-11-11 17:07:00,1
2019-11-29 13:18:00,1
2019-11-29 13:19:00,1
2019-12-10 08:47:00,1
2019-12-12 16:37:00,1
2019-12-13 11:21:00,1
2019-12-13 12:26:00,1
2019-12-13 13:39:00,1
2019-12-13 14:08:00,1
2019-12-16 13:04:00,1
2019-12-16 13:08:00,1
2019-12-16 13:18:00,1
2019-12-16 14:01:00,1
2019-12-16 14:27:00,1
2019-12-16 14:53:00,1
2019-12-17 10:41:00,1
2019-12-17 12:56:00,1
2019-12-20 15:10:00,1
2019-12-20 15:54:00,1
2019-12-20 16:49:00,1
2019-12-21 12:22:00,1
2019-12-21 15:21:00,1
2019-12-21 15:43:00,1
2019-12-21 16:57:00,1
2019-12-21 19:00:00,1
2019-12-30 12:27:00,1
2019-12-30 13:15:00,1
2019-12-30 14:05:00,1
2019-12-31 10:09:00,1
2019-12-31 11:43:00,1
2019-12-31 11:50:00,1
2019-12-31 11:58:00,1
2019-12-31 12:20:00,1
