2,"SELECT TOP # p.objid, p.ra, p.dec, p.r, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE s.class = # AND p.r BETWEEN # AND # AND s.z > #"
2019-04-29 22:31:00,1
2019-04-29 22:32:00,1
